tournament,year,match_name,match_date,stage_name,group_name,group_stage,knockout_stage,replayed,replay
FIFA Men's World Cup,1978,Tunisia vs Mexico,1978-06-02,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1978,Austria vs Spain,1978-06-03,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1978,Brazil vs Sweden,1978-06-03,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1978,Netherlands vs Iran,1978-06-03,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1978,Peru vs Scotland,1978-06-03,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1978,Argentina vs France,1978-06-06,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1978,Italy vs Hungary,1978-06-06,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1978,Poland vs Tunisia,1978-06-06,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1978,West Germany vs Mexico,1978-06-06,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1978,Austria vs Sweden,1978-06-07,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1978,Brazil vs Spain,1978-06-07,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1978,Netherlands vs Peru,1978-06-07,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1978,Scotland vs Iran,1978-06-07,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1978,Argentina vs Italy,1978-06-10,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1978,France vs Hungary,1978-06-10,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1978,Poland vs Mexico,1978-06-10,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1978,West Germany vs Tunisia,1978-06-10,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1978,Brazil vs Austria,1978-06-11,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1978,Peru vs Iran,1978-06-11,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1978,Scotland vs Netherlands,1978-06-11,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1978,Spain vs Sweden,1978-06-11,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1978,Argentina vs Poland,1978-06-14,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1978,Austria vs Netherlands,1978-06-14,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1978,Brazil vs Peru,1978-06-14,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1978,Italy vs West Germany,1978-06-14,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1978,Argentina vs Brazil,1978-06-18,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1978,Italy vs Austria,1978-06-18,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1978,Netherlands vs West Germany,1978-06-18,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1978,Peru vs Poland,1978-06-18,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1978,Argentina vs Peru,1978-06-21,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1978,Austria vs West Germany,1978-06-21,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1978,Brazil vs Poland,1978-06-21,second group stage,Group B,1,0,0,0
FIFA Men's World Cup,1978,Italy vs Netherlands,1978-06-21,second group stage,Group A,1,0,0,0
FIFA Men's World Cup,1978,Brazil vs Italy,1978-06-24,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1978,Argentina vs Netherlands,1978-06-25,final,not applicable,0,1,0,0
FIFA Men's World Cup,1982,Argentina vs Belgium,1982-06-13,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,Brazil vs Soviet Union,1982-06-14,group stage,Group 6,1,0,0,0
FIFA Men's World Cup,1982,Italy vs Poland,1982-06-14,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Hungary vs El Salvador,1982-06-15,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,Peru vs Cameroon,1982-06-15,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Scotland vs New Zealand,1982-06-15,group stage,Group 6,1,0,0,0
FIFA Men's World Cup,1982,England vs France,1982-06-16,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Spain vs Honduras,1982-06-16,group stage,Group 5,1,0,0,0
FIFA Men's World Cup,1982,West Germany vs Algeria,1982-06-16,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,Chile vs Austria,1982-06-17,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,Czechoslovakia vs Kuwait,1982-06-17,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Yugoslavia vs Northern Ireland,1982-06-17,group stage,Group 5,1,0,0,0
FIFA Men's World Cup,1982,Argentina vs Hungary,1982-06-18,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,Brazil vs Scotland,1982-06-18,group stage,Group 6,1,0,0,0
FIFA Men's World Cup,1982,Italy vs Peru,1982-06-18,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Belgium vs El Salvador,1982-06-19,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,Poland vs Cameroon,1982-06-19,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Soviet Union vs New Zealand,1982-06-19,group stage,Group 6,1,0,0,0
FIFA Men's World Cup,1982,England vs Czechoslovakia,1982-06-20,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Spain vs Yugoslavia,1982-06-20,group stage,Group 5,1,0,0,0
FIFA Men's World Cup,1982,West Germany vs Chile,1982-06-20,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,Algeria vs Austria,1982-06-21,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,France vs Kuwait,1982-06-21,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Honduras vs Northern Ireland,1982-06-21,group stage,Group 5,1,0,0,0
FIFA Men's World Cup,1982,Belgium vs Hungary,1982-06-22,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,Poland vs Peru,1982-06-22,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Soviet Union vs Scotland,1982-06-22,group stage,Group 6,1,0,0,0
FIFA Men's World Cup,1982,Argentina vs El Salvador,1982-06-23,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,Brazil vs New Zealand,1982-06-23,group stage,Group 6,1,0,0,0
FIFA Men's World Cup,1982,Italy vs Cameroon,1982-06-23,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Algeria vs Chile,1982-06-24,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,France vs Czechoslovakia,1982-06-24,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Honduras vs Yugoslavia,1982-06-24,group stage,Group 5,1,0,0,0
FIFA Men's World Cup,1982,England vs Kuwait,1982-06-25,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Spain vs Northern Ireland,1982-06-25,group stage,Group 5,1,0,0,0
FIFA Men's World Cup,1982,West Germany vs Austria,1982-06-25,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,Austria vs France,1982-06-28,second group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Poland vs Belgium,1982-06-28,second group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Italy vs Argentina,1982-06-29,second group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,West Germany vs England,1982-06-29,second group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,Austria vs Northern Ireland,1982-07-01,second group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Belgium vs Soviet Union,1982-07-01,second group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Argentina vs Brazil,1982-07-02,second group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,West Germany vs Spain,1982-07-02,second group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,France vs Northern Ireland,1982-07-04,second group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1982,Soviet Union vs Poland,1982-07-04,second group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1982,Italy vs Brazil,1982-07-05,second group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1982,Spain vs England,1982-07-05,second group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1982,Poland vs Italy,1982-07-08,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1982,West Germany vs France,1982-07-08,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1982,Poland vs France,1982-07-10,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1982,Italy vs West Germany,1982-07-11,final,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Bulgaria vs Italy,1986-05-31,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1986,Canada vs France,1986-06-01,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1986,Spain vs Brazil,1986-06-01,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1986,Argentina vs South Korea,1986-06-02,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1986,Morocco vs Poland,1986-06-02,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1986,Soviet Union vs Hungary,1986-06-02,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1986,Algeria vs Northern Ireland,1986-06-03,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1986,Belgium vs Mexico,1986-06-03,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1986,Portugal vs England,1986-06-03,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1986,Paraguay vs Iraq,1986-06-04,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1986,Scotland vs Denmark,1986-06-04,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1986,Uruguay vs West Germany,1986-06-04,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1986,France vs Soviet Union,1986-06-05,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1986,Italy vs Argentina,1986-06-05,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1986,South Korea vs Bulgaria,1986-06-05,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1986,Brazil vs Algeria,1986-06-06,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1986,England vs Morocco,1986-06-06,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1986,Hungary vs Canada,1986-06-06,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1986,Mexico vs Paraguay,1986-06-07,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1986,Northern Ireland vs Spain,1986-06-07,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1986,Poland vs Portugal,1986-06-07,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1986,Denmark vs Uruguay,1986-06-08,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1986,Iraq vs Belgium,1986-06-08,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1986,West Germany vs Scotland,1986-06-08,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1986,Hungary vs France,1986-06-09,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1986,Soviet Union vs Canada,1986-06-09,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1986,Argentina vs Bulgaria,1986-06-10,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1986,South Korea vs Italy,1986-06-10,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1986,England vs Poland,1986-06-11,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1986,Iraq vs Mexico,1986-06-11,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1986,Paraguay vs Belgium,1986-06-11,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1986,Portugal vs Morocco,1986-06-11,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1986,Algeria vs Spain,1986-06-12,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1986,Northern Ireland vs Brazil,1986-06-12,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1986,Denmark vs West Germany,1986-06-13,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1986,Scotland vs Uruguay,1986-06-13,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1986,Mexico vs Bulgaria,1986-06-15,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Soviet Union vs Belgium,1986-06-15,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Argentina vs Uruguay,1986-06-16,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Brazil vs Poland,1986-06-16,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Italy vs France,1986-06-17,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Morocco vs West Germany,1986-06-17,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Denmark vs Spain,1986-06-18,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,England vs Paraguay,1986-06-18,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Brazil vs France,1986-06-21,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1986,West Germany vs Mexico,1986-06-21,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Argentina vs England,1986-06-22,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Spain vs Belgium,1986-06-22,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Argentina vs Belgium,1986-06-25,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1986,France vs West Germany,1986-06-25,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Belgium vs France,1986-06-28,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1986,Argentina vs West Germany,1986-06-29,final,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Argentina vs Cameroon,1990-06-08,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1990,Italy vs Austria,1990-06-09,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1990,Soviet Union vs Romania,1990-06-09,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1990,United Arab Emirates vs Colombia,1990-06-09,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1990,Brazil vs Sweden,1990-06-10,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1990,United States vs Czechoslovakia,1990-06-10,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1990,West Germany vs Yugoslavia,1990-06-10,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1990,Costa Rica vs Scotland,1990-06-11,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1990,England vs Republic of Ireland,1990-06-11,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1990,Belgium vs South Korea,1990-06-12,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1990,Netherlands vs Egypt,1990-06-12,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1990,Argentina vs Soviet Union,1990-06-13,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1990,Uruguay vs Spain,1990-06-13,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1990,Cameroon vs Romania,1990-06-14,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1990,Italy vs United States,1990-06-14,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1990,Yugoslavia vs Colombia,1990-06-14,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1990,Austria vs Czechoslovakia,1990-06-15,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1990,West Germany vs United Arab Emirates,1990-06-15,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1990,Brazil vs Costa Rica,1990-06-16,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1990,England vs Netherlands,1990-06-16,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1990,Sweden vs Scotland,1990-06-16,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1990,Belgium vs Uruguay,1990-06-17,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1990,Republic of Ireland vs Egypt,1990-06-17,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1990,South Korea vs Spain,1990-06-17,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1990,Argentina vs Romania,1990-06-18,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1990,Cameroon vs Soviet Union,1990-06-18,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1990,Austria vs United States,1990-06-19,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1990,Italy vs Czechoslovakia,1990-06-19,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1990,West Germany vs Colombia,1990-06-19,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1990,Yugoslavia vs United Arab Emirates,1990-06-19,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1990,Brazil vs Scotland,1990-06-20,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1990,Sweden vs Costa Rica,1990-06-20,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1990,Belgium vs Spain,1990-06-21,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1990,England vs Egypt,1990-06-21,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1990,Republic of Ireland vs Netherlands,1990-06-21,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1990,South Korea vs Uruguay,1990-06-21,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1990,Cameroon vs Colombia,1990-06-23,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Czechoslovakia vs Costa Rica,1990-06-23,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Brazil vs Argentina,1990-06-24,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,West Germany vs Netherlands,1990-06-24,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Italy vs Uruguay,1990-06-25,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Republic of Ireland vs Romania,1990-06-25,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,England vs Belgium,1990-06-26,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Spain vs Yugoslavia,1990-06-26,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Argentina vs Yugoslavia,1990-06-30,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Republic of Ireland vs Italy,1990-06-30,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Cameroon vs England,1990-07-01,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Czechoslovakia vs West Germany,1990-07-01,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Argentina vs Italy,1990-07-03,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1990,West Germany vs England,1990-07-04,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1990,Italy vs England,1990-07-07,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1990,West Germany vs Argentina,1990-07-08,final,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Germany vs Bolivia,1994-06-17,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1994,Spain vs South Korea,1994-06-17,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1994,Colombia vs Romania,1994-06-18,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1994,Italy vs Republic of Ireland,1994-06-18,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1994,United States vs Switzerland,1994-06-18,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1994,Belgium vs Morocco,1994-06-19,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1994,Cameroon vs Sweden,1994-06-19,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1994,Norway vs Mexico,1994-06-19,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1994,Brazil vs Russia,1994-06-20,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1994,Netherlands vs Saudi Arabia,1994-06-20,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1994,Argentina vs Greece,1994-06-21,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1994,Germany vs Spain,1994-06-21,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1994,Nigeria vs Bulgaria,1994-06-21,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1994,Romania vs Switzerland,1994-06-22,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1994,United States vs Colombia,1994-06-22,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1994,Italy vs Norway,1994-06-23,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1994,South Korea vs Bolivia,1994-06-23,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1994,Brazil vs Cameroon,1994-06-24,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1994,Mexico vs Republic of Ireland,1994-06-24,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1994,Sweden vs Russia,1994-06-24,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1994,Argentina vs Nigeria,1994-06-25,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1994,Belgium vs Netherlands,1994-06-25,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1994,Saudi Arabia vs Morocco,1994-06-25,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1994,Bulgaria vs Greece,1994-06-26,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1994,Switzerland vs Colombia,1994-06-26,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1994,United States vs Romania,1994-06-26,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1994,Bolivia vs Spain,1994-06-27,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1994,Germany vs South Korea,1994-06-27,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1994,Brazil vs Sweden,1994-06-28,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1994,Italy vs Mexico,1994-06-28,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1994,Republic of Ireland vs Norway,1994-06-28,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1994,Russia vs Cameroon,1994-06-28,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1994,Belgium vs Saudi Arabia,1994-06-29,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1994,Morocco vs Netherlands,1994-06-29,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1994,Argentina vs Bulgaria,1994-06-30,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1994,Greece vs Nigeria,1994-06-30,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1994,Germany vs Belgium,1994-07-02,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Spain vs Switzerland,1994-07-02,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Romania vs Argentina,1994-07-03,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Saudi Arabia vs Sweden,1994-07-03,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Brazil vs United States,1994-07-04,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Netherlands vs Republic of Ireland,1994-07-04,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Mexico vs Bulgaria,1994-07-05,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Nigeria vs Italy,1994-07-05,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Italy vs Spain,1994-07-09,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Netherlands vs Brazil,1994-07-09,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Bulgaria vs Germany,1994-07-10,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Romania vs Sweden,1994-07-10,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Bulgaria vs Italy,1994-07-13,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Sweden vs Brazil,1994-07-13,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Sweden vs Bulgaria,1994-07-16,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1994,Brazil vs Italy,1994-07-17,final,not applicable,0,1,0,0
FIFA Men's World Cup,1998,Brazil vs Scotland,1998-06-10,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1998,Morocco vs Norway,1998-06-10,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1998,Cameroon vs Austria,1998-06-11,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1998,Italy vs Chile,1998-06-11,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1998,France vs South Africa,1998-06-12,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1998,Paraguay vs Bulgaria,1998-06-12,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1998,Saudi Arabia vs Denmark,1998-06-12,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1998,Netherlands vs Belgium,1998-06-13,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1998,South Korea vs Mexico,1998-06-13,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1998,Spain vs Nigeria,1998-06-13,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1998,Argentina vs Japan,1998-06-14,group stage,Group H,1,0,0,0
FIFA Men's World Cup,1998,Jamaica vs Croatia,1998-06-14,group stage,Group H,1,0,0,0
FIFA Men's World Cup,1998,Yugoslavia vs Iran,1998-06-14,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1998,England vs Tunisia,1998-06-15,group stage,Group G,1,0,0,0
FIFA Men's World Cup,1998,Germany vs United States,1998-06-15,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1998,Romania vs Colombia,1998-06-15,group stage,Group G,1,0,0,0
FIFA Men's World Cup,1998,Brazil vs Morocco,1998-06-16,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1998,Scotland vs Norway,1998-06-16,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1998,Chile vs Austria,1998-06-17,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1998,Italy vs Cameroon,1998-06-17,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1998,France vs Saudi Arabia,1998-06-18,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1998,South Africa vs Denmark,1998-06-18,group stage,Group C,1,0,0,0
FIFA Men's World Cup,1998,Nigeria vs Bulgaria,1998-06-19,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1998,Spain vs Paraguay,1998-06-19,group stage,Group D,1,0,0,0
FIFA Men's World Cup,1998,Belgium vs Mexico,1998-06-20,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1998,Japan vs Croatia,1998-06-20,group stage,Group H,1,0,0,0
FIFA Men's World Cup,1998,Netherlands vs South Korea,1998-06-20,group stage,Group E,1,0,0,0
FIFA Men's World Cup,1998,Argentina vs Jamaica,1998-06-21,group stage,Group H,1,0,0,0
FIFA Men's World Cup,1998,Germany vs Yugoslavia,1998-06-21,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1998,United States vs Iran,1998-06-21,group stage,Group F,1,0,0,0
FIFA Men's World Cup,1998,Colombia vs Tunisia,1998-06-22,group stage,Group G,1,0,0,0
FIFA Men's World Cup,1998,Romania vs England,1998-06-22,group stage,Group G,1,0,0,0
FIFA Men's World Cup,1998,Brazil vs Norway,1998-06-23,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1998,Chile vs Cameroon,1998-06-23,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1998,Italy vs Austria,1998-06-23,group stage,Group B,1,0,0,0
FIFA Men's World Cup,1998,Scotland vs Morocco,1998-06-23,group stage,Group A,1,0,0,0
FIFA Men's World Cup,1998,France vs Denmark,1998-06-24,group stage,Group C,1,0,0,0
