tournament,year,match_name,match_date,stage_name,group_name,group_stage,knockout_stage,replayed,replay
FIFA Men's World Cup,1950,United States vs England,1950-06-29,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1950,Brazil vs Yugoslavia,1950-07-01,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1950,Chile vs United States,1950-07-02,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1950,Italy vs Paraguay,1950-07-02,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1950,Spain vs England,1950-07-02,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1950,Switzerland vs Mexico,1950-07-02,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1950,Uruguay vs Bolivia,1950-07-02,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1950,Brazil vs Sweden,1950-07-09,final round,not applicable,1,0,0,0
FIFA Men's World Cup,1950,Uruguay vs Spain,1950-07-09,final round,not applicable,1,0,0,0
FIFA Men's World Cup,1950,Brazil vs Spain,1950-07-13,final round,not applicable,1,0,0,0
FIFA Men's World Cup,1950,Uruguay vs Sweden,1950-07-13,final round,not applicable,1,0,0,0
FIFA Men's World Cup,1950,Sweden vs Spain,1950-07-16,final round,not applicable,1,0,0,0
FIFA Men's World Cup,1950,Uruguay vs Brazil,1950-07-16,final round,not applicable,1,0,0,0
FIFA Men's World Cup,1954,Austria vs Scotland,1954-06-16,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1954,Brazil vs Mexico,1954-06-16,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1954,Uruguay vs Czechoslovakia,1954-06-16,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1954,Yugoslavia vs France,1954-06-16,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1954,England vs Belgium,1954-06-17,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1954,Hungary vs South Korea,1954-06-17,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1954,Switzerland vs Italy,1954-06-17,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1954,West Germany vs Turkey,1954-06-17,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1954,Austria vs Czechoslovakia,1954-06-19,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1954,Brazil vs Yugoslavia,1954-06-19,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1954,France vs Mexico,1954-06-19,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1954,Uruguay vs Scotland,1954-06-19,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1954,England vs Switzerland,1954-06-20,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1954,Hungary vs West Germany,1954-06-20,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1954,Italy vs Belgium,1954-06-20,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1954,Turkey vs South Korea,1954-06-20,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1954,Switzerland vs Italy,1954-06-23,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1954,West Germany vs Turkey,1954-06-23,group stage,Group 2,1,0,0,0
