year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1958,1,group stage,Group 2,1,France,3,2,0,1,11,7,4,4,1
1958,1,group stage,Group 2,2,Yugoslavia,3,1,2,0,7,6,1,4,1
1958,1,group stage,Group 2,3,Paraguay,3,1,1,1,9,12,-3,3,0
1958,1,group stage,Group 2,4,Scotland,3,0,1,2,4,6,-2,1,0
1958,1,group stage,Group 3,1,Sweden,3,2,1,0,5,1,4,5,1
1958,1,group stage,Group 3,2,Wales,3,0,3,0,2,2,0,3,1
1958,1,group stage,Group 3,3,Hungary,3,1,1,1,6,3,3,3,0
1958,1,group stage,Group 3,4,Mexico,3,0,1,2,1,8,-7,1,0
1958,1,group stage,Group 4,1,Brazil,3,2,1,0,5,0,5,5,1
1958,1,group stage,Group 4,2,Soviet Union,3,1,1,1,4,4,0,3,1
1958,1,group stage,Group 4,3,England,3,0,3,0,4,4,0,3,0
1958,1,group stage,Group 4,4,Austria,3,0,1,2,2,7,-5,1,0
1962,1,group stage,Group 1,1,Soviet Union,3,2,1,0,8,5,3,5,1
1962,1,group stage,Group 1,2,Yugoslavia,3,2,0,1,8,3,5,4,1
1962,1,group stage,Group 1,3,Uruguay,3,1,0,2,4,6,-2,2,0
1962,1,group stage,Group 1,4,Colombia,3,0,1,2,5,11,-6,1,0
1962,1,group stage,Group 2,1,West Germany,3,2,1,0,4,1,3,5,1
1962,1,group stage,Group 2,2,Chile,3,2,0,1,5,3,2,4,1
1962,1,group stage,Group 2,3,Italy,3,1,1,1,3,2,1,3,0
1962,1,group stage,Group 2,4,Switzerland,3,0,0,3,2,8,-6,0,0
1962,1,group stage,Group 3,1,Brazil,3,2,1,0,4,1,3,5,1
1962,1,group stage,Group 3,2,Czechoslovakia,3,1,1,1,2,3,-1,3,1
1962,1,group stage,Group 3,3,Mexico,3,1,0,2,3,4,-1,2,0
1962,1,group stage,Group 3,4,Spain,3,1,0,2,2,3,-1,2,0
1962,1,group stage,Group 4,1,Hungary,3,2,1,0,8,2,6,5,1
1962,1,group stage,Group 4,2,England,3,1,1,1,4,3,1,3,1
1962,1,group stage,Group 4,3,Argentina,3,1,1,1,2,3,-1,3,0
1962,1,group stage,Group 4,4,Bulgaria,3,0,1,2,1,7,-6,1,0
