team_name,team_code,region_name,confederation_name,federation_name,team_wikipedia_link,federation_wikipedia_link
Republic of Ireland,IRL,Europe,Union of European Football Associations,Football Association of Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Ireland
Romania,ROU,Europe,Union of European Football Associations,Romanian Football Federation,https://en.wikipedia.org/wiki/Romania_national_football_team,https://en.wikipedia.org/wiki/Romanian_Football_Federation
Russia,RUS,"Europe, Asia",Union of European Football Associations,Russian Football Union,https://en.wikipedia.org/wiki/Russia_national_football_team,https://en.wikipedia.org/wiki/Russian_Football_Union
Saudi Arabia,SAU,Middle East,Asian Football Confederation,Saudi Arabian Football Association,https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team,https://en.wikipedia.org/wiki/Saudi_Arabian_Football_Federation
Scotland,SCO,Europe,Union of European Football Associations,Scottish Football Association,https://en.wikipedia.org/wiki/Scotland_national_football_team,https://en.wikipedia.org/wiki/Scottish_Football_Association
Senegal,SEN,Africa,Confederation of African Football,Senegalese Football Federation,https://en.wikipedia.org/wiki/Senegal_national_football_team,https://en.wikipedia.org/wiki/Senegalese_Football_Federation
Serbia,SRB,Europe,Union of European Football Associations,Football Association of Serbia,https://en.wikipedia.org/wiki/Serbia_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Serbia
Serbia and Montenegro,SCG,Europe,Union of European Football Associations,Football Association of Serbia and Montenegro,https://en.wikipedia.org/wiki/Serbia_and_Montenegro_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Serbia_and_Montenegro
Slovakia,SVK,Europe,Union of European Football Associations,Slovak Football Association,https://en.wikipedia.org/wiki/Slovakia_national_football_team,https://en.wikipedia.org/wiki/Slovak_Football_Association
Slovenia,SVN,Europe,Union of European Football Associations,Football Association of Slovenia,https://en.wikipedia.org/wiki/Slovenia_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Slovenia
South Africa,ZAF,Africa,Confederation of African Football,South African Football Associaiton,https://en.wikipedia.org/wiki/South_Africa_national_soccer_team,https://en.wikipedia.org/wiki/South_African_Football_Association
South Korea,KOR,East Asia,Asian Football Confederation,Korea Football Association,https://en.wikipedia.org/wiki/South_Korea_national_football_team,https://en.wikipedia.org/wiki/Korea_Football_Association
Soviet Union,SUN,"Europe, Asia",Union of European Football Associations,Football Federation of the Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union_national_football_team,https://en.wikipedia.org/wiki/Football_Federation_of_the_Soviet_Union
Spain,ESP,Europe,Union of European Football Associations,Royal Spanish Football Federation,https://en.wikipedia.org/wiki/Spain_national_football_team,https://en.wikipedia.org/wiki/Royal_Spanish_Football_Federation
Sweden,SWE,Europe,Union of European Football Associations,Swedish Football Association,https://en.wikipedia.org/wiki/Sweden_national_football_team,https://en.wikipedia.org/wiki/Swedish_Football_Association
Switzerland,CHE,Europe,Union of European Football Associations,Swiss Football Association,https://en.wikipedia.org/wiki/Switzerland_national_football_team,https://en.wikipedia.org/wiki/Swiss_Football_Association
Togo,TGO,Africa,Confederation of African Football,Togolese Football Federation,https://en.wikipedia.org/wiki/Togo_national_football_team,https://en.wikipedia.org/wiki/Togolese_Football_Federation
Trinidad and Tobago,TTO,Caribbean ,"Confederation of North, Central American and Caribbean Association Football",Trinidad and Tobago Football Assocaition,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_national_football_team,https://en.wikipedia.org/wiki/Trinidad_and_Tobago_Football_Association
Tunisia,TUN,Africa,Confederation of African Football,Tunisian Football Federation,https://en.wikipedia.org/wiki/Tunisia_national_football_team,https://en.wikipedia.org/wiki/Tunisian_Football_Federation
Turkey,TUR,"Europe, Asia",Union of European Football Associations,Turkish Football Association,https://en.wikipedia.org/wiki/Turkey_national_football_team,https://en.wikipedia.org/wiki/Turkish_Football_Federation
Ukraine,UKR,Europe,Union of European Football Associations,Ukrainian Association of Football,https://en.wikipedia.org/wiki/Ukraine_national_football_team,https://en.wikipedia.org/wiki/Ukrainian_Association_of_Football
United Arab Emirates,ARE,Middle East,Asian Football Confederation,United Arab Emirates Football Association,https://en.wikipedia.org/wiki/United_Arab_Emirates_national_football_team,https://en.wikipedia.org/wiki/United_Arab_Emirates_Football_Association
United States,USA,North America,"Confederation of North, Central American and Caribbean Association Football",United States Soccer Federation,https://en.wikipedia.org/wiki/United_States_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/United_States_Soccer_Federation
Uruguay,URY,South America,South American Football Confederation,Uruguayan Football Association,https://en.wikipedia.org/wiki/Uruguay_national_football_team,https://en.wikipedia.org/wiki/Uruguayan_Football_Association
Wales,WAL,Europe,Union of European Football Associations,Football Association of Wales,https://en.wikipedia.org/wiki/Wales_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Wales
West Germany,DEU,Europe,Union of European Football Associations,Germany Football Association,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
Yugoslavia,YUG,Europe,Union of European Football Associations,Football Association of Yugoslavia,https://en.wikipedia.org/wiki/Yugoslavia_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Yugoslavia
Zaire,COD,Africa,Confederation of African Football,Congolese Association Football Federation,https://en.wikipedia.org/wiki/DR_Congo_national_football_team,https://en.wikipedia.org/wiki/Congolese_Association_Football_Federation
