confederation_id,confederation_name,confederation_code,count_current_members,confederation_wikipedia_link
CF-1,Asian Football Confederation,AFC,47,https://en.wikipedia.org/wiki/Asian_Football_Confederation
CF-2,Confederation of African Football,CAF,56,https://en.wikipedia.org/wiki/Confederation_of_African_Football
CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,41,https://en.wikipedia.org/wiki/CONCACAF
CF-4,South American Football Confederation,CONMEBOL,10,https://en.wikipedia.org/wiki/CONMEBOL
CF-5,Oceania Football Confederation,OFC,13,https://en.wikipedia.org/wiki/Oceania_Football_Confederation
CF-6,Union of European Football Associations,UEFA,55,https://en.wikipedia.org/wiki/UEFA
