manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
Mick McCarthy,https://en.wikipedia.org/wiki/Mick_McCarthy,Mick,McCarthy,Republic of Ireland,0
James McCrae,https://en.wikipedia.org/wiki/James_McCrae_(footballer),James,McCrae,Scotland,0
Hugo Meisl,https://en.wikipedia.org/wiki/Hugo_Meisl,Hugo,Meisl,Austria,0
Josef Meissner,https://en.wikipedia.org/wiki/Josef_Meissner,Josef,Meissner,Czechoslovakia,0
Miguel Mejía Barón,https://en.wikipedia.org/wiki/Miguel_Mej%C3%ADa_Bar%C3%B3n,Miguel,Mejía Barón,Mexico,0
Rachid Mekhloufi,https://en.wikipedia.org/wiki/Rachid_Mekhloufi,Rachid,Mekhloufi,Algeria,0
César Luis Menotti,https://en.wikipedia.org/wiki/C%C3%A9sar_Luis_Menotti,César Luis,Menotti,Argentina,0
Hue Menzies,https://en.wikipedia.org/wiki/Hue_Menzies,Hue,Menzies,Jamaica,0
Kálmán Mészöly,https://en.wikipedia.org/wiki/K%C3%A1lm%C3%A1n_M%C3%A9sz%C3%B6ly,Kálmán,Mészöly,Hungary,0
Bruno Metsu,https://en.wikipedia.org/wiki/Bruno_Metsu,Bruno,Metsu,France,0
György Mezey,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Mezey,György,Mezey,Hungary,0
Henri Michel,https://en.wikipedia.org/wiki/Henri_Michel,Henri,Michel,France,0
Rinus Michels,https://en.wikipedia.org/wiki/Rinus_Michels,Rinus,Michels,Netherlands,0
Czesław Michniewicz,https://en.wikipedia.org/wiki/Czes%C5%82aw_Michniewicz,Czesław,Michniewicz,Poland,0
Prvoslav Mihajlović,https://en.wikipedia.org/wiki/Prvoslav_Mihajlovi%C4%87,Prvoslav,Mihajlović,Yugoslavia,0
Ante Milicic,https://en.wikipedia.org/wiki/Ante_Milicic,Ante,Milicic,Australia,0
Miljan Miljanić,https://en.wikipedia.org/wiki/Miljan_Miljani%C4%87,Miljan,Miljanić,Yugoslavia,0
Robert Millar,https://en.wikipedia.org/wiki/Robert_Millar_(soccer),Robert,Millar,Scotland,0
Bora Milutinović,https://en.wikipedia.org/wiki/Bora_Milutinovi%C4%87,Bora,Milutinović,Yugoslavia,0
Satoshi Miyauchi,https://en.wikipedia.org/wiki/Satoshi_Miyauchi,Satoshi,Miyauchi,Japan,0
Hristo Mladenov,https://en.wikipedia.org/wiki/Hristo_Mladenov,Hristo,Mladenov,Bulgaria,0
Heshmat Mohajerani,https://en.wikipedia.org/wiki/Heshmat_Mohajerani,Heshmat,Mohajerani,Iran,0
Carolina Morace,https://en.wikipedia.org/wiki/Carolina_Morace,Carolina,Morace,Italy,1
Aymoré Moreira,https://en.wikipedia.org/wiki/Aymor%C3%A9_Moreira,Aymoré,Moreira,Brazil,0
Zezé Moreira,https://en.wikipedia.org/wiki/Zez%C3%A9_Moreira,Zezé,Moreira,Brazil,0
Hajime Moriyasu,https://en.wikipedia.org/wiki/Hajime_Moriyasu,Hajime,Moriyasu,Japan,0
Nikolai Morozov,https://en.wikipedia.org/wiki/Nikolai_Petrovich_Morozov,Nikolai,Morozov,Soviet Union,0
Heinrich Müller,"https://en.wikipedia.org/wiki/Heinrich_M%C3%BCller_(footballer,_born_1888)",Heinrich,Müller,Switzerland,0
Miguel Muñoz,https://en.wikipedia.org/wiki/Miguel_Mu%C3%B1oz,Miguel,Muñoz,Spain,0
Jimmy Murphy,https://en.wikipedia.org/wiki/Jimmy_Murphy_(footballer),Jimmy,Murphy,Wales,0
Myong Dong-chan,https://en.wikipedia.org/wiki/Myong_Dong-chan,Dong-chan,Myong,North Korea,0
Myung Rye-hyun,https://en.wikipedia.org/wiki/Myung_Rye-hyun,Rye-hyun,Myung,North Korea,0
Ödön Nádas,https://en.wikipedia.org/wiki/%C3%96d%C3%B6n_N%C3%A1das,Ödön,Nádas,Hungary,0
József Nagy,"https://en.wikipedia.org/wiki/J%C3%B3zsef_Nagy_(footballer,_born_1892)",József,Nagy,Hungary,0
Walter Nausch,https://en.wikipedia.org/wiki/Walter_Nausch,Walter,Nausch,Austria,0
Adam Nawałka,https://en.wikipedia.org/wiki/Adam_Nawa%C5%82ka,Adam,Nawałka,Poland,0
Silvia Neid,https://en.wikipedia.org/wiki/Silvia_Neid,Silvia,Neid,Germany,1
Valery Nepomnyashchy,https://en.wikipedia.org/wiki/Valery_Nepomnyashchy,Valery,Nepomnyashchy,Soviet Union,0
Otto Nerz,https://en.wikipedia.org/wiki/Otto_Nerz,Otto,Nerz,Germany,0
Phil Neville,https://en.wikipedia.org/wiki/Phil_Neville,Phil,Neville,England,0
Angelo Niculescu,https://en.wikipedia.org/wiki/Angelo_Niculescu,Angelo,Niculescu,Romania,0
Akira Nishino,https://en.wikipedia.org/wiki/Akira_Nishino_(footballer),Akira,Nishino,Japan,0
Olle Nordin,https://en.wikipedia.org/wiki/Olle_Nordin,Olle,Nordin,Sweden,0
Ferruccio Novo,https://en.wikipedia.org/wiki/Ferruccio_Novo,Ferruccio,Novo,Italy,0
Hiroshi Ohashi,https://en.wikipedia.org/wiki/Hiroshi_Ohashi,Hiroshi,Ohashi,Japan,0
Takeshi Okada,https://en.wikipedia.org/wiki/Takeshi_Okada,Takeshi,Okada,Japan,0
Edwin Okon,https://en.wikipedia.org/wiki/Edwin_Okon,Edwin,Okon,Nigeria,0
Samuel Okpodu,https://en.wikipedia.org/wiki/Samuel_Okpodu,Samuel,Okpodu,Nigeria,0
Francisco Olazar,https://en.wikipedia.org/wiki/Francisco_Olazar,Francisco,Olazar,Argentina,0
António Oliveira,"https://en.wikipedia.org/wiki/Ant%C3%B3nio_Oliveira_(footballer,_born_1952)",António,Oliveira,Portugal,0
Egil Olsen,https://en.wikipedia.org/wiki/Egil_Olsen,Egil,Olsen,Norway,0
Morten Olsen,https://en.wikipedia.org/wiki/Morten_Olsen,Morten,Olsen,Denmark,0
Festus Onigbinde,https://en.wikipedia.org/wiki/Festus_Onigbinde,Festus,Onigbinde,Nigeria,0
Willie Ormond,https://en.wikipedia.org/wiki/Willie_Ormond,Willie,Ormond,Scotland,0
György Orth,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Orth,György,Orth,Hungary,0
Ivica Osim,https://en.wikipedia.org/wiki/Ivica_Osim,Ivica,Osim,Yugoslavia,0
Juan Carlos Osorio,https://en.wikipedia.org/wiki/Juan_Carlos_Osorio,Juan Carlos,Osorio,Colombia,0
Georgi Pachedzhiev,https://en.wikipedia.org/wiki/Georgi_Pachedzhiev,Georgi,Pachedzhiev,Bulgaria,0
Rob Page,https://en.wikipedia.org/wiki/Rob_Page,Rob,Page,Wales,0
Isaac Paha,https://en.wikipedia.org/wiki/Isaac_Paha,Isaac,Paha,Ghana,0
Gunilla Paijkull,https://en.wikipedia.org/wiki/Gunilla_Paijkull,Gunilla,Paijkull,Sweden,1
Alketas Panagoulias,https://en.wikipedia.org/wiki/Alketas_Panagoulias,Alketas,Panagoulias,Greece,0
Marcos Paquetá,https://en.wikipedia.org/wiki/Marcos_Paquet%C3%A1,Marcos,Paquetá,Brazil,0
Carlos Alberto Parreira,https://en.wikipedia.org/wiki/Carlos_Alberto_Parreira,Carlos Alberto,Parreira,Brazil,0
Felipe Pascucci,https://en.wikipedia.org/wiki/Felipe_Pascucci,Felipe,Pascucci,Italy,0
Daniel Passarella,https://en.wikipedia.org/wiki/Daniel_Passarella,Daniel,Passarella,Argentina,0
Adolfo Pedernera,https://en.wikipedia.org/wiki/Adolfo_Pedernera,Adolfo,Pedernera,Argentina,0
José Pékerman,https://en.wikipedia.org/wiki/Jos%C3%A9_P%C3%A9kerman,José,Pékerman,Argentina,0
Even Pellerud,https://en.wikipedia.org/wiki/Even_Pellerud,Even,Pellerud,Norway,0
Dimitar Penev,https://en.wikipedia.org/wiki/Dimitar_Penev,Dimitar,Penev,Bulgaria,0
Ilija Petković,https://en.wikipedia.org/wiki/Ilija_Petkovi%C4%87,Ilija,Petković,Serbia and Montenegro,0
Vladimir Petković,https://en.wikipedia.org/wiki/Vladimir_Petkovi%C4%87,Vladimir,Petković,Switzerland,0
Karel Petrů,https://en.wikipedia.org/wiki/Karel_Petr%C5%AF,Karel,Petrů,Czechoslovakia,0
John Pettersson,https://en.wikipedia.org/wiki/John_Pettersson_(football_manager),John,Pettersson,Sweden,0
Otto Pfister,https://en.wikipedia.org/wiki/Otto_Pfister,Otto,Pfister,Germany,0
Pierre Pibarot,https://en.wikipedia.org/wiki/Pierre_Pibarot,Pierre,Pibarot,France,0
Antoni Piechniczek,https://en.wikipedia.org/wiki/Antoni_Piechniczek,Antoni,Piechniczek,Poland,0
Adhemar Pimenta,https://en.wikipedia.org/wiki/Adhemar_Pimenta,Adhemar,Pimenta,Brazil,0
Jorge Luis Pinto,https://en.wikipedia.org/wiki/Jorge_Luis_Pinto,Jorge Luis,Pinto,Colombia,0
Sepp Piontek,https://en.wikipedia.org/wiki/Sepp_Piontek,Sepp,Piontek,Germany,0
Fernando Pires,"https://en.wikipedia.org/wiki/Fernando_Pires_(footballer,_born_1951)",Fernando,Pires,Brazil,0
Juan Antonio Pizzi,https://en.wikipedia.org/wiki/Juan_Antonio_Pizzi,Juan Antonio,Pizzi,Spain,0
Roberto Porta,https://en.wikipedia.org/wiki/Roberto_Porta,Roberto,Porta,Uruguay,0
Ange Postecoglou,https://en.wikipedia.org/wiki/Ange_Postecoglou,Ange,Postecoglou,Australia,0
Hope Powell,https://en.wikipedia.org/wiki/Hope_Powell,Hope,Powell,England,1
Vittorio Pozzo,https://en.wikipedia.org/wiki/Vittorio_Pozzo,Vittorio,Pozzo,Italy,0
Cesare Prandelli,https://en.wikipedia.org/wiki/Cesare_Prandelli,Cesare,Prandelli,Italy,0
Mario Pretto,https://en.wikipedia.org/wiki/Mario_Pretto,Mario,Pretto,Italy,0
Herbert Prohaska,https://en.wikipedia.org/wiki/Herbert_Prohaska,Herbert,Prohaska,Austria,0
Víctor Púa,https://en.wikipedia.org/wiki/V%C3%ADctor_P%C3%BAa,Víctor,Púa,Uruguay,0
Sandro Puppo,https://en.wikipedia.org/wiki/Sandro_Puppo,Sandro,Puppo,Italy,0
Carlos Queiroz,https://en.wikipedia.org/wiki/Carlos_Queiroz,Carlos,Queiroz,Portugal,0
Ignacio Quereda,https://en.wikipedia.org/wiki/Ignacio_Quereda,Ignacio,Quereda,Spain,0
Costel Rădulescu,"https://en.wikipedia.org/wiki/Constantin_R%C4%83dulescu_(footballer,_born_1896)",Costel,Rădulescu,Romania,0
Milovan Rajevac,https://en.wikipedia.org/wiki/Milovan_Rajevac,Milovan,Rajevac,Serbia,0
Óscar Ramírez,"https://en.wikipedia.org/wiki/%C3%93scar_Ram%C3%ADrez_(footballer,_born_1964)",Óscar,Ramírez,Costa Rica,0
Alf Ramsey,https://en.wikipedia.org/wiki/Alf_Ramsey,Alf,Ramsey,England,0
Karl Rappan,https://en.wikipedia.org/wiki/Karl_Rappan,Karl,Rappan,Austria,0
Rale Rasic,https://en.wikipedia.org/wiki/Rale_Rasic,Rale,Rasic,Yugoslavia,0
George Raynor,https://en.wikipedia.org/wiki/George_Raynor,George,Raynor,England,0
Cayetano Ré,https://en.wikipedia.org/wiki/Cayetano_R%C3%A9,Cayetano,Ré,Paraguay,0
Tony Readings,https://en.wikipedia.org/wiki/Tony_Readings,Tony,Readings,England,0
Walid Regragui,https://en.wikipedia.org/wiki/Walid_Regragui,Walid,Regragui,Morocco,0
Otto Rehhagel,https://en.wikipedia.org/wiki/Otto_Rehhagel,Otto,Rehhagel,Germany,0
Roger Reijners,https://en.wikipedia.org/wiki/Roger_Reijners,Roger,Reijners,Netherlands,0
Hervé Renard,https://en.wikipedia.org/wiki/Herv%C3%A9_Renard,Hervé,Renard,France,0
Ri Song-gun,https://en.wikipedia.org/wiki/Ri_Song-gun,Song-gun,Ri,North Korea,0
Fernando Riera,https://en.wikipedia.org/wiki/Fernando_Riera,Fernando,Riera,Chile,0
Bobby Robson,https://en.wikipedia.org/wiki/Bobby_Robson,Bobby,Robson,England,0
José Antonio Roca,https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Roca,José Antonio,Roca,Mexico,0
Mauricio Rodríguez,https://en.wikipedia.org/wiki/Mauricio_Alonso_Rodr%C3%ADguez,Mauricio,Rodríguez,El Salvador,0
Gernot Rohr,https://en.wikipedia.org/wiki/Gernot_Rohr,Gernot,Rohr,Germany,0
Oleg Romantsev,https://en.wikipedia.org/wiki/Oleg_Romantsev,Oleg,Romantsev,Russia,0
Andy Roxburgh,https://en.wikipedia.org/wiki/Andy_Roxburgh,Andy,Roxburgh,Scotland,0
Ricardo Rozo,https://en.wikipedia.org/wiki/Ricardo_Rozo,Ricardo,Rozo,Colombia,0
Reinaldo Rueda,https://en.wikipedia.org/wiki/Reinaldo_Rueda,Reinaldo,Rueda,Colombia,0
Aníbal Ruiz,https://en.wikipedia.org/wiki/An%C3%ADbal_Ruiz,Aníbal,Ruiz,Uruguay,0
Greg Ryan,https://en.wikipedia.org/wiki/Greg_Ryan,Greg,Ryan,United States,0
Rabah Saâdane,https://en.wikipedia.org/wiki/Rabah_Sa%C3%A2dane,Rabah,Saâdane,Algeria,0
Alejandro Sabella,https://en.wikipedia.org/wiki/Alejandro_Sabella,Alejandro,Sabella,Argentina,0
Arrigo Sacchi,https://en.wikipedia.org/wiki/Arrigo_Sacchi,Arrigo,Sacchi,Italy,0
Pavel Sadyrin,https://en.wikipedia.org/wiki/Pavel_Sadyrin,Pavel,Sadyrin,Russia,0
Jorge Sampaoli,https://en.wikipedia.org/wiki/Jorge_Sampaoli,Jorge,Sampaoli,Argentina,0
Mark Sampson,https://en.wikipedia.org/wiki/Mark_Sampson,Mark,Sampson,Wales,0
Steve Sampson,https://en.wikipedia.org/wiki/Steve_Sampson,Steve,Sampson,United States,0
Félix Sánchez,https://en.wikipedia.org/wiki/F%C3%A9lix_S%C3%A1nchez_(football_manager),Félix,Sánchez,Spain,0
José Santamaría,https://en.wikipedia.org/wiki/Jos%C3%A9_Santamar%C3%ADa,José,Santamaría,Uruguay,0
Telê Santana,https://en.wikipedia.org/wiki/Tel%C3%AA_Santana,Telê,Santana,Brazil,0
Luis Santibáñez,https://en.wikipedia.org/wiki/Luis_Santib%C3%A1%C3%B1ez,Luis,Santibáñez,Chile,0
Fernando Santos,"https://en.wikipedia.org/wiki/Fernando_Santos_(footballer,_born_1954)",Fernando,Santos,Portugal,0
Adrian Santrac,https://en.wikipedia.org/wiki/Adrian_Santrac,Adrian,Santrac,Australia,0
Slobodan Santrač,https://en.wikipedia.org/wiki/Slobodan_Santra%C4%8D,Slobodan,Santrač,Yugoslavia,0
Norio Sasaki,https://en.wikipedia.org/wiki/Norio_Sasaki,Norio,Sasaki,Japan,0
Ulises Saucedo,https://en.wikipedia.org/wiki/Ulises_Saucedo,Ulises,Saucedo,Bolivia,0
Alexandru Săvulescu,https://en.wikipedia.org/wiki/Alexandru_S%C4%83vulescu_(footballer),Alexandru,Săvulescu,Romania,0
Lionel Scaloni,https://en.wikipedia.org/wiki/Lionel_Scaloni,Lionel,Scaloni,Argentina,0
Winfried Schäfer,https://en.wikipedia.org/wiki/Winfried_Sch%C3%A4fer,Winfried,Schäfer,Germany,0
Alfréd Schaffer,https://en.wikipedia.org/wiki/Alfr%C3%A9d_Schaffer,Alfréd,Schaffer,Hungary,0
Emmanuel Scheffer,https://en.wikipedia.org/wiki/Emmanuel_Scheffer,Emmanuel,Scheffer,Israel,0
Georg Schmidt,https://en.wikipedia.org/wiki/Georg_Schmidt_(football_coach),Georg,Schmidt,Austria,0
Helmut Schön,https://en.wikipedia.org/wiki/Helmut_Sch%C3%B6n,Helmut,Schön,Germany,0
Luiz Felipe Scolari,https://en.wikipedia.org/wiki/Luiz_Felipe_Scolari,Luiz Felipe,Scolari,Brazil,0
Gusztáv Sebes,https://en.wikipedia.org/wiki/Guszt%C3%A1v_Sebes,Gusztáv,Sebes,Hungary,0
Ali Selmi,https://en.wikipedia.org/wiki/Ali_Selmi,Ali,Selmi,Poland,0
Helmut Senekowitsch,https://en.wikipedia.org/wiki/Helmut_Senekowitsch,Helmut,Senekowitsch,Austria,0
Tom Sermanni,https://en.wikipedia.org/wiki/Tom_Sermanni,Tom,Sermanni,Scotland,0
Shang Ruihua,https://en.wikipedia.org/wiki/Shang_Ruihua,Ruihua,Shang,China,0
Shin Tae-yong,https://en.wikipedia.org/wiki/Shin_Tae-yong,Tae-yong,Shin,South Korea,0
Renê Simões,https://en.wikipedia.org/wiki/Ren%C3%AA_Sim%C3%B5es,Renê,Simões,Brazil,0
Boško Simonović,https://en.wikipedia.org/wiki/Bo%C5%A1ko_Simonovi%C4%87,Boško,Simonović,Yugoslavia,0
Bengt Simonsson,https://en.wikipedia.org/wiki/Bengt_Simonsson,Bengt,Simonsson,Sweden,0
Martin Sjögren,https://en.wikipedia.org/wiki/Martin_Sj%C3%B6gren,Martin,Sjögren,Sweden,0
Tommy Söderberg,https://en.wikipedia.org/wiki/Tommy_S%C3%B6derberg,Tommy,Söderberg,Sweden,0
Jorge Solari,https://en.wikipedia.org/wiki/Jorge_Solari,Jorge,Solari,Argentina,0
Rigobert Song,https://en.wikipedia.org/wiki/Rigobert_Song,Rigobert,Song,Cameroon,0
Jomo Sono,https://en.wikipedia.org/wiki/Jomo_Sono,Jomo,Sono,South Africa,0
Ammar Souayah,https://en.wikipedia.org/wiki/Ammar_Souayah,Ammar,Souayah,Tunisia,0
Gareth Southgate,https://en.wikipedia.org/wiki/Gareth_Southgate,Gareth,Southgate,England,0
Nuengrutai Srathongvian,https://en.wikipedia.org/wiki/Nuengrutai_Srathongvian,Nuengrutai,Srathongvian,Thailand,1
Guillermo Stábile,https://en.wikipedia.org/wiki/Guillermo_St%C3%A1bile,Guillermo,Stábile,Argentina,0
Alen Stajcic,https://en.wikipedia.org/wiki/Alen_Stajcic,Alen,Stajcic,Australia,0
Åge Steen,https://en.wikipedia.org/wiki/%C3%85ge_Steen,Åge,Steen,Norway,0
Jock Stein,https://en.wikipedia.org/wiki/Jock_Stein,Jock,Stein,Scotland,0
Dragan Stojković,https://en.wikipedia.org/wiki/Dragan_Stojkovi%C4%87,Dragan,Stojković,Serbia,0
Luis Suárez,"https://en.wikipedia.org/wiki/Luis_Su%C3%A1rez_(footballer,_born_1935)",Luis,Suárez,Spain,0
Luis Fernando Suárez,https://en.wikipedia.org/wiki/Luis_Fernando_Su%C3%A1rez,Luis Fernando,Suárez,Colombia,0
Pia Sundhage,https://en.wikipedia.org/wiki/Pia_Sundhage,Pia,Sundhage,Sweden,1
Alberto Suppici,https://en.wikipedia.org/wiki/Alberto_Suppici,Alberto,Suppici,Uruguay,0
Safet Sušić,https://en.wikipedia.org/wiki/Safet_Su%C5%A1i%C4%87,Safet,Sušić,Bosnia and Herzegovina,0
Tamotsu Suzuki,https://en.wikipedia.org/wiki/Tamotsu_Suzuki,Tamotsu,Suzuki,Japan,0
Tommy Svensson,https://en.wikipedia.org/wiki/Tommy_Svensson,Tommy,Svensson,Sweden,0
Óscar Tabárez,https://en.wikipedia.org/wiki/%C3%93scar_Tab%C3%A1rez,Óscar,Tabárez,Uruguay,0
Fabián Taborda,https://en.wikipedia.org/wiki/Fabi%C3%A1n_Taborda,Fabián,Taborda,Colombia,0
Asako Takakura,https://en.wikipedia.org/wiki/Asako_Takakura,Asako,Takakura,Japan,1
Jalal Talebi,https://en.wikipedia.org/wiki/Jalal_Talebi,Jalal,Talebi,Iran,0
José Tapia,https://en.wikipedia.org/wiki/Jos%C3%A9_Tapia,José,Tapia,Cuba,0
Antoine Tassy,https://en.wikipedia.org/wiki/Antoine_Tassy,Antoine,Tassy,Haiti,0
Tina Theune-Meyer,https://en.wikipedia.org/wiki/Tina_Theune,Tina,Theune-Meyer,Germany,1
Guy Thys,https://en.wikipedia.org/wiki/Guy_Thys,Guy,Thys,Belgium,0
Tim,https://en.wikipedia.org/wiki/Tim_(footballer),not applicable,Tim,Brazil,0
Aleksandar Tirnanić,https://en.wikipedia.org/wiki/Aleksandar_Tirnani%C4%87,Aleksandar,Tirnanić,Yugoslavia,0
Tite,https://en.wikipedia.org/wiki/Tite_(football_manager),not applicable,Tite,Brazil,0
José Torres,https://en.wikipedia.org/wiki/Jos%C3%A9_Augusto_Torres,José,Torres,Portugal,0
Clémentine Touré,https://en.wikipedia.org/wiki/Cl%C3%A9mentine_Tour%C3%A9,Clémentine,Touré,Ivory Coast,1
Juan José Tramutola,https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Tramutola,Juan José,Tramutola,Argentina,0
Giovanni Trapattoni,https://en.wikipedia.org/wiki/Giovanni_Trapattoni,Giovanni,Trapattoni,Italy,0
Ignacio Tréllez,https://en.wikipedia.org/wiki/Ignacio_Tr%C3%A9llez,Ignacio,Tréllez,Mexico,0
Philippe Troussier,https://en.wikipedia.org/wiki/Philippe_Troussier,Philippe,Troussier,France,0
Neil Turnbull,https://en.wikipedia.org/wiki/Neil_Turnbull,Neil,Turnbull,England,0
Ngozi Eucharia Uche,https://en.wikipedia.org/wiki/Ngozi_Eucharia_Uche,Ngozi Eucharia,Uche,Nigeria,1
Eiji Ueda,https://en.wikipedia.org/wiki/Eiji_Ueda,Eiji,Ueda,Japan,0
Josef Uridil,https://en.wikipedia.org/wiki/Josef_Uridil,Josef,Uridil,Romania,0
Vadão,https://en.wikipedia.org/wiki/Vad%C3%A3o,not applicable,Vadão,Brazil,0
Ferruccio Valcareggi,https://en.wikipedia.org/wiki/Ferruccio_Valcareggi,Ferruccio,Valcareggi,Italy,0
Amelia Valverde,https://en.wikipedia.org/wiki/Amelia_Valverde,Amelia,Valverde,Costa Rica,1
Marco van Basten,https://en.wikipedia.org/wiki/Marco_van_Basten,Marco,van Basten,Netherlands,0
Louis van Gaal,https://en.wikipedia.org/wiki/Louis_van_Gaal,Louis,van Gaal,Netherlands,0
Paul Van Himst,https://en.wikipedia.org/wiki/Paul_Van_Himst,Paul,Van Himst,Belgium,0
Bert van Marwijk,https://en.wikipedia.org/wiki/Bert_van_Marwijk,Bert,van Marwijk,Netherlands,0
Jozef Vengloš,https://en.wikipedia.org/wiki/Jozef_Venglo%C5%A1,Jozef,Vengloš,Czechoslovakia,0
Pim Verbeek,https://en.wikipedia.org/wiki/Pim_Verbeek,Pim,Verbeek,Netherlands,0
Octavio Vial,https://en.wikipedia.org/wiki/Octavio_Vial,Octavio,Vial,Mexico,0
Azeglio Vicini,https://en.wikipedia.org/wiki/Azeglio_Vicini,Azeglio,Vicini,Italy,0
Blagoje Vidinić,https://en.wikipedia.org/wiki/Blagoje_Vidini%C4%87,Blagoje,Vidinić,Yugoslavia,0
Ondino Viera,https://en.wikipedia.org/wiki/Ondino_Viera,Ondino,Viera,Uruguay,0
Jorge Vilda,https://en.wikipedia.org/wiki/Jorge_Vilda,Jorge,Vilda,Spain,0
José Villalonga,https://en.wikipedia.org/wiki/Jos%C3%A9_Villalonga_Llorente,José,Villalonga,Spain,0
Jean Vincent,https://en.wikipedia.org/wiki/Jean_Vincent_(footballer),Jean,Vincent,France,0
Luiz Vinhaes,https://en.wikipedia.org/wiki/Luiz_Vinhaes,Luiz,Vinhaes,Brazil,0
Berti Vogts,https://en.wikipedia.org/wiki/Berti_Vogts,Berti,Vogts,Germany,0
Rudi Völler,https://en.wikipedia.org/wiki/Rudi_V%C3%B6ller,Rudi,Völler,Germany,0
Martina Voss-Tecklenburg,https://en.wikipedia.org/wiki/Martina_Voss-Tecklenburg,Martina,Voss-Tecklenburg,Germany,1
Ivan Vutsov,https://en.wikipedia.org/wiki/Ivan_Vutsov,Ivan,Vutsov,Bulgaria,0
Rudolf Vytlačil,https://en.wikipedia.org/wiki/Rudolf_Vytla%C4%8Dil,Rudolf,Vytlačil,Czechoslovakia,0
Tony Waiters,https://en.wikipedia.org/wiki/Tony_Waiters,Tony,Waiters,England,0
Dawson Walker,https://en.wikipedia.org/wiki/Dawson_Walker,Dawson,Walker,Scotland,0
Robert Waseige,https://en.wikipedia.org/wiki/Robert_Waseige,Robert,Waseige,Belgium,0
Vladimír Weiss,"https://en.wikipedia.org/wiki/Vladim%C3%ADr_Weiss_(footballer,_born_1964)",Vladimír,Weiss,Slovakia,0
Clemens Westerhof,https://en.wikipedia.org/wiki/Clemens_Westerhof,Clemens,Westerhof,Netherlands,0
Sarina Wiegman,https://en.wikipedia.org/wiki/Sarina_Wiegman,Sarina,Wiegman,Netherlands,1
Marc Wilmots,https://en.wikipedia.org/wiki/Marc_Wilmots,Marc,Wilmots,Belgium,0
Wilsinho,https://en.wikipedia.org/wiki/Wilsinho_(football_manager),not applicable,Wilsinho,Brazil,0
Walter Winterbottom,https://en.wikipedia.org/wiki/Walter_Winterbottom,Walter,Winterbottom,England,0
Murat Yakin,https://en.wikipedia.org/wiki/Murat_Yakin,Murat,Yakin,Switzerland,0
Yoon Deok-yeo,https://en.wikipedia.org/wiki/Yoon_Deok-yeo,Deok-yeo,Yoon,South Korea,0
Alberto Zaccheroni,https://en.wikipedia.org/wiki/Alberto_Zaccheroni,Alberto,Zaccheroni,Italy,0
Mário Zagallo,https://en.wikipedia.org/wiki/M%C3%A1rio_Zagallo,Mário,Zagallo,Brazil,0
Zico,https://en.wikipedia.org/wiki/Zico_(footballer),not applicable,Zico,Brazil,0
