manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
Craig Brown,https://en.wikipedia.org/wiki/Craig_Brown_(footballer_born_1940),Craig,Brown,Scotland,0
Greg Brown,"https://en.wikipedia.org/wiki/Greg_Brown_(footballer,_born_1962)",Greg,Brown,Australia,0
Francisco Bru,https://en.wikipedia.org/wiki/Francisco_Bru,Francisco,Bru,Spain,0
Karel Brückner,https://en.wikipedia.org/wiki/Karel_Br%C3%BCckner,Karel,Brückner,Czech Republic,0
Alberto Buccicardi,https://en.wikipedia.org/wiki/Alberto_Buccicardi,Alberto,Buccicardi,Chile,0
Matt Busby,https://en.wikipedia.org/wiki/Matt_Busby,Matt,Busby,Scotland,0
Georg Buschner,https://en.wikipedia.org/wiki/Georg_Buschner,Georg,Buschner,East Germany,0
Jack Butler,"https://en.wikipedia.org/wiki/Jack_Butler_(footballer,_born_1894)",Jack,Butler,England,0
Yuri Bystritsky,https://en.wikipedia.org/wiki/Yuri_Bystritsky,Yuri,Bystritsky,Russia,0
Marcos Calderón,https://en.wikipedia.org/wiki/Marcos_Calder%C3%B3n,Marcos,Calderón,Peru,0
José Antonio Camacho,https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Camacho,José Antonio,Camacho,Spain,0
Vladislao Cap,https://en.wikipedia.org/wiki/Vladislao_Cap,Vladislao,Cap,Argentina,0
Fabio Capello,https://en.wikipedia.org/wiki/Fabio_Capello,Fabio,Capello,Italy,0
Raúl Cárdenas,https://en.wikipedia.org/wiki/Ra%C3%BAl_C%C3%A1rdenas,Raúl,Cárdenas,Mexico,0
Paulo César Carpegiani,https://en.wikipedia.org/wiki/Paulo_C%C3%A9sar_Carpegiani,Paulo César,Carpegiani,Brazil,0
Hernán Carrasco,https://en.wikipedia.org/wiki/Hern%C3%A1n_Carrasco,Hernán,Carrasco,Chile,0
Raoul Caudron,https://en.wikipedia.org/wiki/Raoul_Caudron,Raoul,Caudron,France,0
Cha Bum-kun,https://en.wikipedia.org/wiki/Cha_Bum-kun,Bum-kun,Cha,South Korea,0
Jack Charlton,https://en.wikipedia.org/wiki/Jack_Charlton,Jack,Charlton,England,0
Stanislav Cherchesov,https://en.wikipedia.org/wiki/Stanislav_Cherchesov,Stanislav,Cherchesov,Russia,0
Abdelmajid Chetali,https://en.wikipedia.org/wiki/Abdelmajid_Chetali,Abdelmajid,Chetali,Tunisia,0
Chong Tsu-pin,https://en.wikipedia.org/wiki/Chong_Tsu-pin,Tsu-pin,Chong,Chinese Taipei,1
Aliou Cissé,https://en.wikipedia.org/wiki/Aliou_Ciss%C3%A9,Aliou,Cissé,Senegal,0
Javier Clemente,https://en.wikipedia.org/wiki/Javier_Clemente,Javier,Clemente,Spain,0
