key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
1,WC-1930,1930 FIFA Men's World Cup,M-1930-01,France vs Mexico,group stage,Group 1,1,0,0,0,1930-07-13,15:00,S-240,Estadio Pocitos,Montevideo,Uruguay,T-30,France,FRA,T-46,Mexico,MEX,4–1,4,1,3,-3,0,0,0-0,0,0,home team win,1,0,0
2,WC-1930,1930 FIFA Men's World Cup,M-1930-02,United States vs Belgium,group stage,Group 4,1,0,0,0,1930-07-13,15:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,United States,USA,T-06,Belgium,BEL,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
3,WC-1930,1930 FIFA Men's World Cup,M-1930-03,Yugoslavia vs Brazil,group stage,Group 2,1,0,0,0,1930-07-14,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-87,Yugoslavia,YUG,T-09,Brazil,BRA,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
4,WC-1930,1930 FIFA Men's World Cup,M-1930-04,Romania vs Peru,group stage,Group 3,1,0,0,0,1930-07-14,14:50,S-240,Estadio Pocitos,Montevideo,Uruguay,T-61,Romania,ROU,T-56,Peru,PER,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
5,WC-1930,1930 FIFA Men's World Cup,M-1930-05,Argentina vs France,group stage,Group 1,1,0,0,0,1930-07-15,16:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-30,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
6,WC-1930,1930 FIFA Men's World Cup,M-1930-06,Chile vs Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-46,Mexico,MEX,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
7,WC-1930,1930 FIFA Men's World Cup,M-1930-07,Yugoslavia vs Bolivia,group stage,Group 2,1,0,0,0,1930-07-17,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-87,Yugoslavia,YUG,T-07,Bolivia,BOL,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0
8,WC-1930,1930 FIFA Men's World Cup,M-1930-08,United States vs Paraguay,group stage,Group 4,1,0,0,0,1930-07-17,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,United States,USA,T-55,Paraguay,PRY,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
9,WC-1930,1930 FIFA Men's World Cup,M-1930-09,Uruguay vs Peru,group stage,Group 3,1,0,0,0,1930-07-18,14:30,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-56,Peru,PER,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
10,WC-1930,1930 FIFA Men's World Cup,M-1930-10,Chile vs France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-238,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-30,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0
