referee_name,referee_wikipedia_link,given_name,family_name,female,country_name,confederation_code
Joel Aguilar,https://en.wikipedia.org/wiki/Joel_Aguilar,Joel,Aguilar,0,El Salvador,CONCACAF
Joël Quiniou,https://en.wikipedia.org/wiki/Jo%C3%ABl_Quiniou,Joël,Quiniou,0,France,UEFA
Johannes van Moorsel,not available,Johannes,van Moorsel,0,Netherlands,UEFA
John Adair,not available,John,Adair,0,Northern Ireland,UEFA
John Gordon,https://en.wikipedia.org/wiki/John_Gordon_(referee),John,Gordon,0,Scotland,UEFA
John Langenus,https://en.wikipedia.org/wiki/John_Langenus,John,Langenus,0,Belgium,UEFA
John Toro Rendón,https://en.wikipedia.org/wiki/John_Toro_Rend%C3%B3n,John,Toro Rendón,0,Colombia,CONMEBOL
Jonas Eriksson,https://en.wikipedia.org/wiki/Jonas_Eriksson_(referee),Jonas,Eriksson,0,Sweden,UEFA
Jorge Larrionda,https://en.wikipedia.org/wiki/Jorge_Larrionda,Jorge,Larrionda,0,Uruguay,CONMEBOL
Jose da Costa Vieira,not available,Jose,da Costa Vieira,0,Portugal,UEFA
José Macías,not available,José,Macías,0,Argentina,CONMEBOL
José Torres Cadena,https://en.wikipedia.org/wiki/Jos%C3%A9_Torres_Cadena,José,Torres Cadena,0,Colombia,CONMEBOL
José Luis Martínez Bazán,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Mart%C3%ADnez_Baz%C3%A1n,José Luis,Martínez Bazán,0,Uruguay,CONMEBOL
José María Codesal,not available,José María,Codesal,0,Uruguay,CONMEBOL
José María García-Aranda,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Garc%C3%ADa-Aranda,José María,García-Aranda,0,Spain,UEFA
José María Ortiz de Mendíbil,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Ortiz_de_Mend%C3%ADbil,José María,Ortiz de Mendíbil,0,Spain,UEFA
José Roberto Wright,https://en.wikipedia.org/wiki/Jos%C3%A9_Roberto_Wright,José Roberto,Wright,0,Brazil,CONMEBOL
Juan Garay Gardeazábal,not available,Juan,Garay Gardeazábal,0,Spain,UEFA
Juan Regis Brozzi,not available,Juan,Regis Brozzi,0,Argentina,CONMEBOL
Juan Silvagno Cavanna,not available,Juan,Silvagno Cavanna,0,Chile,CONMEBOL
Juan Carlos Loustau,https://en.wikipedia.org/wiki/Juan_Carlos_Loustau,Juan Carlos,Loustau,0,Argentina,CONMEBOL
Juan Daniel Cardellino,https://en.wikipedia.org/wiki/Juan_Daniel_Cardellino,Juan Daniel,Cardellino,0,Uruguay,CONMEBOL
Lu Jun,https://en.wikipedia.org/wiki/Lu_Jun,Jun,Lu,0,China,AFC
Karel van der Meer,not available,Karel,van der Meer,0,Netherlands,UEFA
Kari Seitz,https://en.wikipedia.org/wiki/Kari_Seitz,Kari,Seitz,1,United States,CONCACAF
Karol Galba,https://en.wikipedia.org/wiki/Karol_Galba,Karol,Galba,0,Czechoslovakia,UEFA
Károly Palotai,https://en.wikipedia.org/wiki/K%C3%A1roly_Palotai,Károly,Palotai,0,Hungary,UEFA
Katalin Kulcsár,https://en.wikipedia.org/wiki/Katalin_Kulcs%C3%A1r,Katalin,Kulcsár,1,Hungary,UEFA
Kate Jacewicz,https://en.wikipedia.org/wiki/Kate_Jacewicz,Kate,Jacewicz,1,Australia,AFC
Kateryna Monzul,https://en.wikipedia.org/wiki/Kateryna_Monzul,Kateryna,Monzul,1,Ukraine,UEFA
Katriina Elovirta,https://en.wikipedia.org/wiki/Katriina_Elovirta,Katriina,Elovirta,1,Finland,UEFA
Lim Kee Chong,https://en.wikipedia.org/wiki/Lim_Kee_Chong,Kee Chong,Lim,0,Mauritius,CAF
Ken Dagnall,https://en.wikipedia.org/wiki/Ken_Dagnall,Ken,Dagnall,0,England,UEFA
Kenneth Aston,https://en.wikipedia.org/wiki/Ken_Aston,Kenneth,Aston,0,England,UEFA
Khalil Al Ghamdi,https://en.wikipedia.org/wiki/Khalil_Al_Ghamdi,Khalil,Al-Ghamdi,0,Saudi Arabia,AFC
Kim Milton Nielsen,https://en.wikipedia.org/wiki/Kim_Milton_Nielsen,Kim Milton,Nielsen,0,Denmark,UEFA
Kirsi Heikkinen,https://en.wikipedia.org/wiki/Kirsi_Heikkinen,Kirsi,Heikkinen,1,Finland,UEFA
Koman Coulibaly,https://en.wikipedia.org/wiki/Koman_Coulibaly,Koman,Coulibaly,0,Mali,CAF
Konstantin Zečević,not available,Konstantin,Zečević,0,Yugoslavia,UEFA
Kurt Röthlisberger,https://en.wikipedia.org/wiki/Kurt_R%C3%B6thlisberger,Kurt,Röthlisberger,0,Switzerland,UEFA
Kurt Tschenscher,https://en.wikipedia.org/wiki/Kurt_Tschenscher,Kurt,Tschenscher,0,West Germany,UEFA
Kyros Vassaras,https://en.wikipedia.org/wiki/Kyros_Vassaras,Kyros,Vassaras,0,Greece,UEFA
Lajos Németh,not available,Lajos,Németh,0,Hungary,UEFA
László Vágner,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_V%C3%A1gner,László,Vágner,0,Hungary,UEFA
Laura Fortunato,https://en.wikipedia.org/wiki/Laura_Fortunato_(referee),Laura,Fortunato,1,Argentina,CONMEBOL
Laurens van Ravens,https://en.wikipedia.org/wiki/Laurens_van_Ravens,Laurens,van Ravens,0,Netherlands,UEFA
Laurent Franken,not available,Laurent,Franken,0,Belgium,UEFA
Leo Callaghan,https://en.wikipedia.org/wiki/Leo_Callaghan,Leo,Callaghan,0,Wales,UEFA
Leo Horn,https://en.wikipedia.org/wiki/Leo_Horn,Leo,Horn,0,Netherlands,UEFA
Leo Lemesic,https://en.wikipedia.org/wiki/Leo_Lemesic,Leo,Lemesic,0,Yugoslavia,UEFA
Leslie Mottram,https://en.wikipedia.org/wiki/Leslie_Mottram,Leslie,Mottram,0,Scotland,UEFA
Qin Liang,https://en.wikipedia.org/wiki/Qin_Liang,Liang,Qin,1,China,AFC
Lidya Tafesse,https://en.wikipedia.org/wiki/Lidya_Tafesse,Lidya,Tafesse,1,Ethiopia,CAF
Linda May Black,not available,Linda May,Black,1,New Zealand,OFC
Louis Baert,https://en.wikipedia.org/wiki/Louis_Baert,Louis,Baert,0,Belgium,UEFA
Ľuboš Micheľ,https://en.wikipedia.org/wiki/%C4%BDubo%C5%A1_Miche%C4%BE,Ľuboš,Micheľ,0,Slovakia,UEFA
Lucien Bouchardeau,https://en.wikipedia.org/wiki/Lucien_Bouchardeau,Lucien,Bouchardeau,0,Niger,CAF
Lucien Leclerq,not available,Lucien,Leclerq,0,France,UEFA
Lucien van Nuffel,not available,Lucien,van Nuffel,0,Belgium,UEFA
Lucila Venegas,https://en.wikipedia.org/wiki/Lucila_Venegas,Lucila,Venegas,1,Mexico,CONCACAF
Luigi Agnolin,https://en.wikipedia.org/wiki/Luigi_Agnolin,Luigi,Agnolin,0,Italy,UEFA
Luis Barrancos,https://en.wikipedia.org/wiki/Luis_Barrancos,Luis,Barrancos,0,Bolivia,CONMEBOL
Luis Medina Cantalejo,https://en.wikipedia.org/wiki/Luis_Medina_Cantalejo,Luis,Medina Cantalejo,0,Spain,UEFA
Luis Paulino Siles,https://en.wikipedia.org/wiki/Luis_Paulino_Siles,Luis,Paulino Siles,0,Costa Rica,CONCACAF
Luis Pestarino,not available,Luis,Pestarino,0,Argentina,CONMEBOL
Mahmoud Mustafa Kamel,not available,Mahmoud,Mustafa Kamel,0,Egypt,CAF
Malang Diedhiou,https://en.wikipedia.org/wiki/Malang_Diedhiou,Malang,Diedhiou,0,Senegal,CAF
Malcolm Moffat,not available,Malcolm,Moffat,0,Northern Ireland,UEFA
Manuel Asensi,not available,Manuel,Asensi,0,Spain,UEFA
Manuel Díaz Vega,https://en.wikipedia.org/wiki/Manuel_D%C3%ADaz_Vega,Manuel,Díaz Vega,0,Spain,UEFA
Marc Batta,https://en.wikipedia.org/wiki/Marc_Batta,Marc,Batta,0,France,UEFA
Marcel van Langenhove,https://en.wikipedia.org/wiki/Marcel_van_Langenhove_(referee),Marcel,van Langenhove,0,Belgium,UEFA
Márcio Rezende de Freitas,https://en.wikipedia.org/wiki/M%C3%A1rcio_Rezende_de_Freitas,Márcio,Rezende de Freitas,0,Brazil,CONMEBOL
Marco Antonio Rodríguez,https://en.wikipedia.org/wiki/Marco_Antonio_Rodr%C3%ADguez,Marco Antonio,Rodríguez,0,Mexico,CONCACAF
Margaret Domka,https://en.wikipedia.org/wiki/Margaret_Domka,Margaret,Domka,1,United States,CONCACAF
María Carvajal,https://en.wikipedia.org/wiki/Mar%C3%ADa_Carvajal,María,Carvajal,1,Chile,CONMEBOL
Maria Edilene Siqueira,not available,Maria Edilene,Siqueira,1,Brazil,CONMEBOL
Marie-Soleil Beaudoin,https://en.wikipedia.org/wiki/Marie-Soleil_Beaudoin,Marie-Soleil,Beaudoin,1,Canada,CONCACAF
Mario Escobar,https://en.wikipedia.org/wiki/Mario_Escobar_(referee),Mario,Escobar,0,Guatemala,CONCACAF
Mario Sánchez Yantén,https://en.wikipedia.org/wiki/Mario_S%C3%A1nchez_Yant%C3%A9n,Mario,Sánchez Yantén,0,Chile,CONMEBOL
Mario van der Ende,https://en.wikipedia.org/wiki/Mario_van_der_Ende,Mario,van der Ende,0,Netherlands,UEFA
Mário Gardelli,https://en.wikipedia.org/wiki/M%C3%A1rio_Gardelli,Mário,Gardelli,0,Brazil,CONMEBOL
Mário Vianna,not available,Mário,Vianna,0,Brazil,CONMEBOL
Mario Rubio Vázquez,not available,Mario Rubio,Vázquez,0,Mexico,CONCACAF
Marisela Contreras,not available,Marisela,Contreras,1,Venezuela,CONMEBOL
Mark Geiger,https://en.wikipedia.org/wiki/Mark_Geiger,Mark,Geiger,0,United States,CONCACAF
Mark Shield,https://en.wikipedia.org/wiki/Mark_Shield,Mark,Shield,0,Australia,AFC
Markus Merk,https://en.wikipedia.org/wiki/Markus_Merk,Markus,Merk,0,Germany,UEFA
Martha Liliana Pardo,not available,Martha Liliana,Pardo,1,Colombia,CONMEBOL
Martin Macko,not available,Martin,Macko,0,Czechoslovakia,UEFA
Masayoshi Okada,https://en.wikipedia.org/wiki/Masayoshi_Okada,Masayoshi,Okada,0,Japan,AFC
Massimo Busacca,https://en.wikipedia.org/wiki/Massimo_Busacca,Massimo,Busacca,0,Switzerland,UEFA
Matthew Conger,https://en.wikipedia.org/wiki/Matthew_Conger,Matthew,Conger,0,New Zealand,OFC
Maurice Guigue,https://en.wikipedia.org/wiki/Maurice_Guigue,Maurice,Guigue,0,France,UEFA
Mayumi Oiwa,https://en.wikipedia.org/wiki/Mayumi_Oiwa,Mayumi,Oiwa,1,Japan,AFC
Melissa Borjas,https://en.wikipedia.org/wiki/Melissa_Borjas,Melissa,Borjas,1,Honduras,CONCACAF
Menachem Ashkenazi,https://en.wikipedia.org/wiki/Menachem_Ashkenazi,Menachem,Ashkenazi,0,Israel,UEFA
Michael Hester,https://en.wikipedia.org/wiki/Michael_Hester,Michael,Hester,0,New Zealand,OFC
Michael Oliver,https://en.wikipedia.org/wiki/Michael_Oliver_(referee),Michael,Oliver,0,England,UEFA
Michel Vautrot,https://en.wikipedia.org/wiki/Michel_Vautrot,Michel,Vautrot,0,France,UEFA
Milorad Mažić,https://en.wikipedia.org/wiki/Milorad_Ma%C5%BEi%C4%87,Milorad,Mažić,0,Serbia,UEFA
Mohamed Guezzaz,https://en.wikipedia.org/wiki/Mohamed_Guezzaz,Mohamed,Guezzaz,0,Morocco,CAF
Mohammed Abdulla Hassan Mohamed,https://en.wikipedia.org/wiki/Mohammed_Abdulla_Hassan_Mohamed,Mohammed Abdulla,Hassan Mohamed,0,United Arab Emirates,AFC
Mourad Daami,https://en.wikipedia.org/wiki/Mourad_Daami,Mourad,Daami,0,Tunisia,CAF
Mustapha Ghorbal,https://en.wikipedia.org/wiki/Mustapha_Ghorbal,Mustapha,Ghorbal,0,Algeria,CAF
Myroslav Stupar,https://en.wikipedia.org/wiki/Myroslav_Stupar,Myroslav,Stupar,0,Soviet Union,UEFA
Nawaf Shukralla,https://en.wikipedia.org/wiki/Nawaf_Shukralla,Nawaf,Shukralla,0,Bahrain,AFC
Neji Jouini,https://en.wikipedia.org/wiki/Neji_Jouini,Neji,Jouini,0,Tunisia,CAF
Néstor Pitana,https://en.wikipedia.org/wiki/N%C3%A9stor_Pitana,Néstor,Pitana,0,Argentina,CONMEBOL
Nicola Rizzoli,https://en.wikipedia.org/wiki/Nicola_Rizzoli,Nicola,Rizzoli,0,Italy,UEFA
Nicolae Rainea,https://en.wikipedia.org/wiki/Nicolae_Rainea,Nicolae,Rainea,0,Romania,UEFA
Nicole Petignat,https://en.wikipedia.org/wiki/Nicole_Petignat,Nicole,Petignat,1,Switzerland,UEFA
Nikolai Levnikov,https://en.wikipedia.org/wiki/Nikolai_Levnikov,Nikolai,Levnikov,0,Soviet Union,UEFA
Noumandiez Doué,https://en.wikipedia.org/wiki/Noumandiez_Dou%C3%A9,Noumandiez,Doué,0,Ivory Coast,CAF
Olegário Benquerença,https://en.wikipedia.org/wiki/Oleg%C3%A1rio_Benqueren%C3%A7a,Olegário,Benquerença,0,Portugal,UEFA
Omar Delgado Gómez,not available,Omar,Delgado Gómez,0,Colombia,CONMEBOL
Omer Yengo,not available,Omer,Yengo,0,Congo,CAF
Óscar Ruiz,https://en.wikipedia.org/wiki/%C3%93scar_Ruiz,Óscar,Ruiz,0,Colombia,CONMEBOL
Pablo Pozo,https://en.wikipedia.org/wiki/Pablo_Pozo,Pablo,Pozo,0,Chile,CONMEBOL
Pablo Sánchez Ibáñez,not available,Pablo,Sánchez Ibáñez,0,Spain,UEFA
Pál von Hertzka,not available,Pál,von Hertzka,0,Hungary,UEFA
Pannipar Kamnueng,https://en.wikipedia.org/wiki/Pannipar_Kamnueng,Pannipar,Kamnueng,1,Thailand,AFC
Paolo Casarin,https://en.wikipedia.org/wiki/Paolo_Casarin,Paolo,Casarin,0,Italy,UEFA
Pat Partridge,https://en.wikipedia.org/wiki/Pat_Partridge,Pat,Partridge,0,England,UEFA
Paul Durkin,https://en.wikipedia.org/wiki/Paul_Durkin,Paul,Durkin,0,England,UEFA
Pavel Kazakov,https://en.wikipedia.org/wiki/Pavel_Kazakov,Pavel,Kazakov,0,Soviet Union,UEFA
Pedro Proença,https://en.wikipedia.org/wiki/Pedro_Proen%C3%A7a,Pedro,Proença,0,Portugal,UEFA
Pernilla Larsson,https://en.wikipedia.org/wiki/Pernilla_Larsson,Pernilla,Larsson,1,Sweden,UEFA
Peter Mikkelsen,https://en.wikipedia.org/wiki/Peter_Mikkelsen_(referee),Peter,Mikkelsen,0,Denmark,UEFA
Peter O'Leary,https://en.wikipedia.org/wiki/Peter_O%27Leary_(referee),Peter,O'Leary,0,New Zealand,OFC
Peter Prendergast,https://en.wikipedia.org/wiki/Peter_Prendergast_(referee),Peter,Prendergast,0,Jamaica,CONCACAF
Petros Mathabela,not available,Petros,Mathabela,0,South Africa,CAF
Philip Don,https://en.wikipedia.org/wiki/Philip_Don,Philip,Don,0,England,UEFA
Pierluigi Collina,https://en.wikipedia.org/wiki/Pierluigi_Collina,Pierluigi,Collina,0,Italy,UEFA
Pierluigi Pairetto,https://en.wikipedia.org/wiki/Pierluigi_Pairetto,Pierluigi,Pairetto,0,Italy,UEFA
Pierre Schwinte,not available,Pierre,Schwinte,0,France,UEFA
Pirom Un-prasert,https://en.wikipedia.org/wiki/Pirom_Un-prasert,Pirom,Un-prasert,0,Thailand,AFC
Quetzalli Alvarado,not available,Quetzalli,Alvarado,1,Mexico,CONCACAF
Rafael Hormazábal Díaz,not available,Rafael,Hormazábal Díaz,0,Chile,CONMEBOL
Rafael Rodríguez Medina,not available,Rafael,Rodríguez Medina,0,El Salvador,CONCACAF
Ramesh Ramdhan,https://en.wikipedia.org/wiki/Ramesh_Ramdhan,Ramesh,Ramdhan,0,Trinidad and Tobago,CONCACAF
Ramón Azón Romá,not available,Ramón,Azón Romá,0,Spain,UEFA
Ramón Barreto Ruíz,https://en.wikipedia.org/wiki/Ram%C3%B3n_Barreto,Ramón,Barreto Ruíz,0,Uruguay,CONMEBOL
Raphael Claus,https://en.wikipedia.org/wiki/Raphael_Claus,Raphael,Claus,0,Brazil,CONMEBOL
Ravshan Irmatov,https://en.wikipedia.org/wiki/Ravshan_Irmatov,Ravshan,Irmatov,0,Uzbekistan,AFC
Raymond Vincenti,not available,Raymond,Vincenti,0,France,UEFA
Raymond Wyssling,not available,Raymond,Wyssling,0,Switzerland,UEFA
Reginald Leafe,https://en.wikipedia.org/wiki/Reginald_Leafe,Reginald,Leafe,0,England,UEFA
Renato Marsiglia,https://en.wikipedia.org/wiki/Renato_Marsiglia,Renato,Marsiglia,0,Brazil,CONMEBOL
René Mercet,https://en.wikipedia.org/wiki/Ren%C3%A9_Mercet,René,Mercet,0,Switzerland,UEFA
René Ortubé,https://en.wikipedia.org/wiki/Ren%C3%A9_Ortub%C3%A9,René,Ortubé,0,Bolivia,CONMEBOL
Ricardo Vallarino,not available,Ricardo,Vallarino,0,Uruguay,CONMEBOL
Riem Hussein,https://en.wikipedia.org/wiki/Riem_Hussein,Riem,Hussein,1,Germany,UEFA
Rinaldo Barlassina,https://en.wikipedia.org/wiki/Rinaldo_Barlassina,Rinaldo,Barlassina,0,Italy,UEFA
Rita Gani,https://en.wikipedia.org/wiki/Rita_Gani,Rita,Gani,1,Malaysia,AFC
Robert Wurtz,https://en.wikipedia.org/wiki/Robert_Wurtz_(referee),Robert,Wurtz,0,France,UEFA
Roberto Goicoechea,not available,Roberto,Goicoechea,0,Argentina,CONMEBOL
Roberto Rosetti,https://en.wikipedia.org/wiki/Roberto_Rosetti,Roberto,Rosetti,0,Italy,UEFA
Rodrigo Badilla,https://en.wikipedia.org/wiki/Rodrigo_Badilla,Rodrigo,Badilla,0,Costa Rica,CONCACAF
Roger Conrié,not available,Roger,Conrié,0,France,UEFA
Roger Machin,https://en.wikipedia.org/wiki/Roger_Machin,Roger,Machin,0,France,UEFA
Romualdo Arppi Filho,https://en.wikipedia.org/wiki/Romualdo_Arppi_Filho,Romualdo,Arppi Filho,0,Brazil,CONMEBOL
Rómulo Méndez,https://en.wikipedia.org/wiki/R%C3%B3mulo_M%C3%A9ndez,Rómulo,Méndez,0,Guatemala,CONCACAF
Rudi Glöckner,https://en.wikipedia.org/wiki/Rudi_Gl%C3%B6ckner,Rudi,Glöckner,0,East Germany,UEFA
Rudolf Kreitlein,https://en.wikipedia.org/wiki/Rudolf_Kreitlein,Rudolf,Kreitlein,0,West Germany,UEFA
Rudolf Scheurer,https://en.wikipedia.org/wiki/Rudolf_Scheurer,Rudolf,Scheurer,0,Switzerland,UEFA
Rune Pedersen,https://en.wikipedia.org/wiki/Rune_Pedersen_(referee),Rune,Pedersen,0,Norway,UEFA
Ryszard Wójcik,https://en.wikipedia.org/wiki/Ryszard_W%C3%B3jcik,Ryszard,Wójcik,0,Poland,UEFA
Saad Mane,https://en.wikipedia.org/wiki/Saad_Mane,Saad,Mane,0,Kuwait,AFC
Sachiko Yamagishi,not available,Sachiko,Yamagishi,1,Japan,AFC
Said Belqola,https://en.wikipedia.org/wiki/Said_Belqola,Said,Belqola,0,Morocco,CAF
Salima Mukansanga,https://en.wikipedia.org/wiki/Salima_Mukansanga,Salima,Mukansanga,1,Rwanda,CAF
Salomé di Iorio,https://en.wikipedia.org/wiki/Salom%C3%A9_di_Iorio,Salomé,di Iorio,1,Argentina,CONMEBOL
Salvador Imperatore,https://en.wikipedia.org/wiki/Salvador_Imperatore,Salvador,Imperatore,0,Chile,CONMEBOL
Sándor Puhl,https://en.wikipedia.org/wiki/S%C3%A1ndor_Puhl,Sándor,Puhl,0,Hungary,UEFA
Sandra Braz,https://en.wikipedia.org/wiki/Sandra_Braz,Sandra,Braz,1,Portugal,UEFA
Sandra Hunt,https://en.wikipedia.org/wiki/Sandra_Hunt,Sandra,Hunt,1,United States,CONCACAF
Sandro Ricci,https://en.wikipedia.org/wiki/Sandro_Ricci,Sandro,Ricci,0,Brazil,CONMEBOL
Benjamin Griffiths,https://en.wikipedia.org/wiki/Sandy_Griffiths,Sandy,Griffiths,0,Wales,UEFA
Sergei Karasev,https://en.wikipedia.org/wiki/Sergei_Karasev,Sergei,Karasev,0,Russia,UEFA
Sergio Bustamante,not available,Sergio,Bustamante,0,Chile,CONMEBOL
Sergio Gonella,https://en.wikipedia.org/wiki/Sergio_Gonella,Sergio,Gonella,0,Italy,UEFA
Seyoum Tarekegn,not available,Seyoum,Tarekegn,0,Ethiopia,CAF
Shamsul Maidin,https://en.wikipedia.org/wiki/Shamsul_Maidin,Shamsul,Maidin,0,Singapore,AFC
Shizuo Takada,https://en.wikipedia.org/wiki/Shizuo_Takada,Shizuo,Takada,0,Japan,AFC
Siegfried Kirschen,https://en.wikipedia.org/wiki/Siegfried_Kirschen,Siegfried,Kirschen,0,East Germany,UEFA
Silvia Reyes,not available,Silvia,Reyes,1,Peru,CONMEBOL
Slavko Vinčić,https://en.wikipedia.org/wiki/Slavko_Vinčić,Slavko,Vinčić,0,Slovenia,UEFA
Sonia Denoncourt,https://en.wikipedia.org/wiki/Sonia_Denoncourt,Sonia,Denoncourt,1,Canada,CONCACAF
Sten Ahlner,not available,Sten,Ahlner,0,Sweden,UEFA
Stéphane Lannoy,https://en.wikipedia.org/wiki/St%C3%A9phane_Lannoy,Stéphane,Lannoy,0,France,UEFA
Stéphanie Frappart,https://en.wikipedia.org/wiki/Stéphanie_Frappart,Stéphanie,Frappart,1,France,UEFA
Sueli Tortura,not available,Sueli,Tortura,1,Brazil,CONMEBOL
Cha Sung-mi,not available,Sung-mi,Cha,1,South Korea,AFC
Szymon Marciniak,https://en.wikipedia.org/wiki/Szymon_Marciniak,Szymon,Marciniak,0,Poland,UEFA
Chan Tam Sun,https://en.wikipedia.org/wiki/Thomson_Chan,Tam Sun,Chan,0,Hong Kong,AFC
Tammy Ogston,https://en.wikipedia.org/wiki/Tammy_Ogston,Tammy,Ogston,1,Australia,AFC
Teodora Albon,https://en.wikipedia.org/wiki/Teodora_Albon,Teodora,Albon,1,Romania,UEFA
Terje Hauge,https://en.wikipedia.org/wiki/Terje_Hauge,Terje,Hauge,0,Norway,UEFA
Thérèse Neguel,https://en.wikipedia.org/wiki/Th%C3%A9r%C3%A8se_Neguel,Thérèse,Neguel,1,Cameroon,CAF
Thomas Balvay,https://en.wikipedia.org/wiki/Thomas_Balvay,Thomas,Balvay,0,France,UEFA
Tofiq Bahramov,https://en.wikipedia.org/wiki/Tofiq_Bahramov,Tofiq,Bahramov,0,Soviet Union,UEFA
Tony Boskovic,https://en.wikipedia.org/wiki/Tony_Boskovic,Tony,Boskovic,0,Australia,AFC
Toru Kamikawa,https://en.wikipedia.org/wiki/Toru_Kamikawa,Toru,Kamikawa,0,Japan,AFC
Tullio Lanese,https://en.wikipedia.org/wiki/Tullio_Lanese,Tullio,Lanese,0,Italy,UEFA
Ubaldo Aquino,https://en.wikipedia.org/wiki/Ubaldo_Aquino,Ubaldo,Aquino,0,Paraguay,CONMEBOL
Ulf Eriksson,https://en.wikipedia.org/wiki/Ulf_Eriksson_(referee),Ulf,Eriksson,0,Sweden,UEFA
Ulises Saucedo,https://en.wikipedia.org/wiki/Ulises_Saucedo,Ulises,Saucedo,0,Bolivia,CONMEBOL
Urs Meier,https://en.wikipedia.org/wiki/Urs_Meier,Urs,Meier,0,Switzerland,UEFA
Vadim Zhuk,https://en.wikipedia.org/wiki/Vadim_Zhuk,Vadim,Zhuk,0,Soviet Union,UEFA
Valentin Ivanov,https://en.wikipedia.org/wiki/Valentin_Ivanov_(footballer_born_1961),Valentin,Ivanov,0,Russia,UEFA
Valeri Butenko,https://en.wikipedia.org/wiki/Valeri_Butenko,Valeri,Butenko,0,Soviet Union,UEFA
Vasa Stefanovic,not available,Vasa,Stefanovic,0,Yugoslavia,UEFA
Vassilios Nikakis,https://en.wikipedia.org/wiki/Vassilios_Nikakis,Vassilios,Nikakis,0,Greece,UEFA
Vicente Llobregat,not available,Vicente,Llobregat,0,Venezuela,CONMEBOL
Victor Gomes,https://en.wikipedia.org/wiki/Victor_Gomes,Victor,Gomes,0,South Africa,CAF
Victoriano Sánchez Arminio,not available,Victoriano,Sánchez Arminio,0,Spain,UEFA
Viktor Kassai,https://en.wikipedia.org/wiki/Viktor_Kassai,Viktor,Kassai,0,Hungary,UEFA
Vincent Mauro,not available,Vincent,Mauro,0,United States,CONCACAF
Vincenzo Orlandini,https://en.wikipedia.org/wiki/Vincenzo_Orlandini,Vincenzo,Orlandini,0,Italy,UEFA
Virginia Tovar,not available,Virginia,Tovar,1,Mexico,CONCACAF
Vital Loraux,not available,Vital,Loraux,0,Belgium,UEFA
Vítor Melo Pereira,https://en.wikipedia.org/wiki/V%C3%ADtor_Melo_Pereira,Vítor,Melo Pereira,0,Portugal,UEFA
Vojtěch Christov,https://en.wikipedia.org/wiki/Vojt%C4%9Bch_Christov,Vojtěch,Christov,0,Czechoslovakia,UEFA
Volker Roth,https://en.wikipedia.org/wiki/Volker_Roth,Volker,Roth,0,West Germany,UEFA
Walter Eschweiler,https://en.wikipedia.org/wiki/Walter_Eschweiler,Walter,Eschweiler,0,West Germany,UEFA
Werner Winsemann,https://en.wikipedia.org/wiki/Werner_Winsemann,Werner,Winsemann,0,Canada,CONCACAF
William Ling,https://en.wikipedia.org/wiki/William_Ling_(referee),William,Ling,0,England,UEFA
William Mattus,https://en.wikipedia.org/wiki/William_Mattus,William,Mattus,0,Costa Rica,CONCACAF
Wilmar Roldán,https://en.wikipedia.org/wiki/Wilmar_Rold%C3%A1n,Wilmar,Roldán,0,Colombia,CONMEBOL
Wilton Sampaio,https://en.wikipedia.org/wiki/Wilton_Sampaio,Wilton,Sampaio,0,Brazil,CONMEBOL
Wolfgang Stark,https://en.wikipedia.org/wiki/Wolfgang_Stark,Wolfgang,Stark,0,Germany,UEFA
Zuo Xiudi,not available,Xiudi,Zuo,1,China,AFC
Xonam Agboyi,not available,Xonam,Agboyi,1,Togo,CAF
Yeimy Martínez,not available,Yeimy,Martínez,1,Colombia,CONMEBOL
Yoshimi Yamashita,https://en.wikipedia.org/wiki/Yoshimi_Yamashita,Yoshimi,Yamashita,1,Japan,AFC
Kim Young-joo,https://en.wikipedia.org/wiki/Kim_Young-joo,Young-joo,Kim,0,South Korea,AFC
Yousef Alghoul,https://en.wikipedia.org/wiki/Yousef_Alghoul,Yousef,Alghoul,0,Libya,CAF
Youssou N'Diaye,not available,Youssou,N'Diaye,0,Senegal,CAF
Yuichi Nishimura,https://en.wikipedia.org/wiki/Yuichi_Nishimura,Yuichi,Nishimura,0,Japan,AFC
Zoran Petrović,https://en.wikipedia.org/wiki/Zoran_Petrovi%C4%87_(referee),Zoran,Petrović,0,Yugoslavia,UEFA
