referee_name,referee_wikipedia_link,given_name,family_name,female,country_name,confederation_code
Augusto Lamo Castillo,https://en.wikipedia.org/wiki/Augusto_Lamo_Castillo,Augusto,Lamo Castillo,0,Spain,UEFA
Aurelio Angonese,not available,Aurelio,Angonese,0,Italy,UEFA
Ayrton Vieira de Moraes,not available,Ayrton,Vieira de Moraes,0,Brazil,CONMEBOL
Bakary Gassama,https://en.wikipedia.org/wiki/Bakary_Gassama,Bakary,Gassama,0,Gambia,CAF
Belaïd Lacarne,https://en.wikipedia.org/wiki/Bela%C3%AFd_Lacarne,Belaïd,Lacarne,0,Algeria,CAF
Ben Williams,https://en.wikipedia.org/wiki/Ben_Williams_(referee),Ben,Williams,0,Australia,AFC
Benito Archundia,https://en.wikipedia.org/wiki/Benito_Archundia,Benito,Archundia,0,Mexico,CONCACAF
Benjamin Dwomoh,https://en.wikipedia.org/wiki/Benjamin_Dwomoh,Benjamin,Dwomoh,0,Ghana,CAF
Bente Skogvang,not available,Bente,Skogvang,1,Norway,UEFA
Bernd Heynemann,https://en.wikipedia.org/wiki/Bernd_Heynemann,Bernd,Heynemann,0,Germany,UEFA
Berny Ulloa Morera,https://en.wikipedia.org/wiki/Berny_Ulloa_Morera,Berny,Ulloa Morera,0,Costa Rica,CONCACAF
Bertil Lööw,not available,Bertil,Lööw,0,Sweden,UEFA
Bibiana Steinhaus,https://en.wikipedia.org/wiki/Bibiana_Steinhaus,Bibiana,Steinhaus,1,Germany,UEFA
Björn Kuipers,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Kuipers,Björn,Kuipers,0,Netherlands,UEFA
Bo Karlsson,https://en.wikipedia.org/wiki/Bo_Karlsson,Bo,Karlsson,0,Sweden,UEFA
Bob Valentine,https://en.wikipedia.org/wiki/Bob_Valentine_(referee),Bob,Valentine,0,Scotland,UEFA
Bobby Davidson,https://en.wikipedia.org/wiki/Bobby_Davidson,Bobby,Davidson,0,Scotland,UEFA
Bogdan Dotchev,https://en.wikipedia.org/wiki/Bogdan_Dotchev,Bogdan,Dotchev,0,Bulgaria,UEFA
