team_name,player_name,given_name,family_name,player_wikipedia_link
Norway,Amalie Eikeland,Amalie,Eikeland,https://en.wikipedia.org/wiki/Amalie_Eikeland
New Zealand,Amanda Crawford,Amanda,Crawford,https://en.wikipedia.org/wiki/Amanda_Crawford_(footballer)
United States,Amanda Cromwell,Amanda,Cromwell,https://en.wikipedia.org/wiki/Amanda_Cromwell
Sweden,Amanda Ilestedt,Amanda,Ilestedt,https://en.wikipedia.org/wiki/Amanda_Ilestedt
South Africa,Amanda Mthandi,Amanda,Mthandi,https://en.wikipedia.org/wiki/Amanda_Mthandi
Mexico,Amanda Pérez,Amanda,Pérez,https://en.wikipedia.org/wiki/Amanda_P%C3%A9rez_(footballer)
Spain,Amanda Sampedro,Amanda,Sampedro,https://en.wikipedia.org/wiki/Amanda_Sampedro
France,Amandine Henry,Amandine,Henry,https://en.wikipedia.org/wiki/Amandine_Henry
Nigeria,Amarachi Okoronkwo,Amarachi,Okoronkwo,https://en.wikipedia.org/wiki/Amarachi_Okoronkwo
Ecuador,Ámbar Torres,Ámbar,Torres,https://en.wikipedia.org/wiki/%C3%81mbar_Torres
New Zealand,Amber Hearn,Amber,Hearn,https://en.wikipedia.org/wiki/Amber_Hearn
France,Amel Majri,Amel,Majri,https://en.wikipedia.org/wiki/Amel_Majri
France,Amélie Coquet,Amélie,Coquet,https://en.wikipedia.org/wiki/Am%C3%A9lie_Coquet
Nigeria,Amenze Aighewi,Amenze,Aighewi,https://en.wikipedia.org/wiki/Amenze_Aighewi
Ivory Coast,Aminata Haidara,Aminata,Haidara,https://en.wikipedia.org/wiki/Aminata_Haidara
Ghana,Aminatu Ibrahim,Aminatu,Ibrahim,https://en.wikipedia.org/wiki/Aminatu_Ibrahim
United States,Amy Allmann,Amy,Allmann,https://en.wikipedia.org/wiki/Amy_Griffin
Australia,Amy Beattie,Amy,Beattie,https://en.wikipedia.org/wiki/Amy_Beattie
Australia,Amy Harrison,Amy,Harrison,https://en.wikipedia.org/wiki/Amy_Harrison
United States,Amy LePeilbet,Amy,LePeilbet,https://en.wikipedia.org/wiki/Amy_LePeilbet
United States,Amy Rodriguez,Amy,Rodriguez,https://en.wikipedia.org/wiki/Amy_Rodriguez
Australia,Amy Taylor,Amy,Taylor,https://en.wikipedia.org/wiki/Amy_Duggan
Canada,Amy Walsh,Amy,Walsh,https://en.wikipedia.org/wiki/Amy_Walsh
Australia,Amy Wilson,Amy,Wilson,https://en.wikipedia.org/wiki/Amy_Wilson_(soccer)
Switzerland,Ana-Maria Crnogorčević,Ana-Maria,Crnogorčević,https://en.wikipedia.org/wiki/Ana-Maria_Crnogor%C4%8Devi%C4%87
Argentina,Analía Almeida,Analía,Almeida,https://en.wikipedia.org/wiki/Anal%C3%ADa_Almeida
Nigeria,Anam Imo,Anam,Imo,https://en.wikipedia.org/wiki/Anam_Imo
Russia,Anastasia Pustovoitova,Anastasia,Pustovoitova,https://en.wikipedia.org/wiki/Anastasia_Pustovoitova
South Africa,Andile Dlamini,Andile,Dlamini,https://en.wikipedia.org/wiki/Andile_Dlamini
Spain,Andrea Falcón,Andrea,Falcón,https://en.wikipedia.org/wiki/Andrea_Falc%C3%B3n
Argentina,Andrea Gonsebate,Andrea,Gonsebate,https://en.wikipedia.org/wiki/Andrea_Gonsebate
Canada,Andrea Neil,Andrea,Neil,https://en.wikipedia.org/wiki/Andrea_Neil
Argentina,Andrea Ojeda,Andrea,Ojeda,https://en.wikipedia.org/wiki/Andrea_Ojeda
