team_name,player_name,given_name,family_name,player_wikipedia_link
Kuwait,Abdulaziz Al-Anberi,Abdulaziz,Al-Anberi,https://en.wikipedia.org/wiki/Abdulaziz_Al-Anberi
Kuwait,Abdulaziz Al-Buloushi,Abdulaziz,Al-Buloushi,https://en.wikipedia.org/wiki/Abdulaziz_Al-Buloushi
Saudi Arabia,Abdulaziz Al-Janoubi,Abdulaziz,Al-Janoubi,https://en.wikipedia.org/wiki/Abdulaziz_Al-Janoubi
Qatar,Abdulaziz Hatem,Abdulaziz,Hatem,https://en.wikipedia.org/wiki/Abdulaziz_Hatem
Saudi Arabia,Abdulaziz Khathran,Abdulaziz,Al-Khathran,https://en.wikipedia.org/wiki/Abdulaziz_Khathran
United Arab Emirates,Abdulaziz Mohamed,Abdulaziz,Mohamed,https://en.wikipedia.org/wiki/Abdulaziz_Mohamed
Saudi Arabia,Abdulelah Al-Amri,Abdulelah,Al-Amri,https://en.wikipedia.org/wiki/Abdulelah_Al-Amri
Saudi Arabia,Abdulellah Al-Malki,Abdulellah,Al-Malki,https://en.wikipedia.org/wiki/Abdulellah_Al-Malki
Kuwait,Abdullah Al-Buloushi,Abdullah,Al-Buloushi,https://en.wikipedia.org/wiki/Abdullah_Al-Buloushi
Saudi Arabia,Abdullah Al-Dosari,Abdullah,Al-Dosari,https://en.wikipedia.org/wiki/Abdullah_Al-Dosari
Saudi Arabia,Abdullah Al-Jumaan,Abdullah,Al-Jumaan,https://en.wikipedia.org/wiki/Abdullah_Al-Jumaan
Saudi Arabia,Abdullah Al-Khaibari,Abdullah,Al-Khaibari,https://en.wikipedia.org/wiki/Abdullah_Al-Khaibari
Saudi Arabia,Abdullah Al-Mayouf,Abdullah,Al-Mayouf,https://en.wikipedia.org/wiki/Abdullah_Al-Mayouf
Saudi Arabia,Abdullah Al-Waked,Abdullah,Al-Waked,https://en.wikipedia.org/wiki/Abdullah_Al-Waked
Turkey,Abdullah Ercan,Abdullah,Ercan,https://en.wikipedia.org/wiki/Abdullah_Ercan
Saudi Arabia,Abdullah Madu,Abdullah,Madu,https://en.wikipedia.org/wiki/Abdullah_Madu
Kuwait,Abdullah Mayouf,Abdullah,Mayouf,https://en.wikipedia.org/wiki/Abdullah_Mayouf
United Arab Emirates,Abdullah Musa,Abdullah,Musa,https://en.wikipedia.org/wiki/Abdullah_Musa
Saudi Arabia,Abdullah Otayf,Abdullah,Otayf,https://en.wikipedia.org/wiki/Abdullah_Otayf
Saudi Arabia,Abdullah Zubromawi,Abdullah,Sulaiman Zubromawi,https://en.wikipedia.org/wiki/Abdullah_Zubromawi
Saudi Arabia,Abdulmalek Al-Khaibri,Abdulmalek,Al-Khaibri,https://en.wikipedia.org/wiki/Abdulmalek_Al-Khaibri
United Arab Emirates,Abdulqadir Hassan,Abdulqadir,Hassan,https://en.wikipedia.org/wiki/Abdulqadir_Hassan
Saudi Arabia,Abdulrahman Al-Aboud,Abdulrahman,Al-Aboud,https://en.wikipedia.org/wiki/Abdulrahman_Al-Aboud
United Arab Emirates,Abdulrahman Al-Haddad,Abdulrahman,Al-Haddad,https://en.wikipedia.org/wiki/Abdulrahman_Al-Haddad
Egypt,Abdulrahman Fawzi,Abdulrahman,Fawzi,https://en.wikipedia.org/wiki/Abdulrahman_Fawzi
United Arab Emirates,Abdulrahman Mohamed,Abdulrahman,Mohamed,https://en.wikipedia.org/wiki/Abdulrahman_Mohamed
Brazil,Abel,not applicable,Abel,https://en.wikipedia.org/wiki/Abel_Braga
Colombia,Abel Aguilar,Abel,Aguilar,https://en.wikipedia.org/wiki/Abel_Aguilar
Argentina,Abel Balbo,Abel,Balbo,https://en.wikipedia.org/wiki/Abel_Balbo
Uruguay,Abel Hernández,Abel,Hernández,https://en.wikipedia.org/wiki/Abel_Hern%C3%A1ndez
Portugal,Abel Xavier,Abel,Xavier,https://en.wikipedia.org/wiki/Abel_Xavier
Spain,Abelardo,not applicable,Abelardo,https://en.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez
Nigeria,Abiodun Baruwa,Abiodun,Baruwa,https://en.wikipedia.org/wiki/Abiodun_Baruwa
Iran,Abolfazl Jalali,Abolfazl,Jalali,https://en.wikipedia.org/wiki/Abolfazl_Jalali
France,Abou Diaby,Abou,Diaby,https://en.wikipedia.org/wiki/Abou_Diaby
Brazil,Acácio,not applicable,Acácio,https://en.wikipedia.org/wiki/Ac%C3%A1cio_(footballer)
Cameroon,Achille Emaná,Achille,Emaná,https://en.wikipedia.org/wiki/Achille_Eman%C3%A1
Colombia,Achito Vivas,Achito,Vivas,https://en.wikipedia.org/wiki/Achito_Vivas
Dutch East Indies,Achmad Nawir,Achmad,Nawir,https://en.wikipedia.org/wiki/Achmad_Nawir
Morocco,Achraf Dari,Achraf,Dari,https://en.wikipedia.org/wiki/Achraf_Dari
Morocco,Achraf Hakimi,Achraf,Hakimi,https://en.wikipedia.org/wiki/Achraf_Hakimi
Romania,Adalbert Deşu,Adalbert,Deşu,https://en.wikipedia.org/wiki/Adalbert_De%C5%9Fu
Romania,Adalbert Püllöck,Adalbert,Püllöck,https://en.wikipedia.org/wiki/Adalbert_P%C3%BCll%C3%B6ck
Romania,Adalbert Steiner,Adalbert,Steiner,https://en.wikipedia.org/wiki/Adalbert_Steiner
Bulgaria,Adalbert Zafirov,Adalbert,Zafirov,https://en.wikipedia.org/wiki/Adalbert_Zafirov
Wales,Adam Davies,Adam,Davies,"https://en.wikipedia.org/wiki/Adam_Davies_(footballer,_born_1992)"
Australia,Adam Federici,Adam,Federici,https://en.wikipedia.org/wiki/Adam_Federici
England,Adam Lallana,Adam,Lallana,https://en.wikipedia.org/wiki/Adam_Lallana
